"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.233442873E0,4.294382525E-4,4.477642069E-4,-1.296866918E-3
1.245442069E0,-7.922922377E-4,-1.384831499E-3,-7.513642049E-5
1.257441366E0,-7.922922377E-4,-7.739662542E-4,5.357288173E-4
1.269440563E0,4.294382525E-4,4.477642069E-4,5.357288173E-4
1.281439361E0,3.483764362E-3,-7.739662542E-4,5.357288173E-4
1.293437293E0,1.040303498E-3,1.058629481E-3,-1.907732105E-3
1.305435892E0,2.262033988E-3,-1.631010236E-4,-3.129462712E-3
1.317435657E0,1.651168684E-3,4.477642069E-4,-7.513642049E-5
1.329434122E0,-1.814269781E-4,-1.631010236E-4,-1.907732105E-3
1.341432153E0,-7.922922377E-4,-7.739662542E-4,-7.513642049E-5
1.353432051E0,-3.235753393E-3,1.669494784E-3,-7.513642049E-5
1.365430516E0,4.294382525E-4,4.477642069E-4,-1.296866918E-3
1.377428014E0,1.040303498E-3,-7.739662542E-4,-1.907732105E-3
1.389426412E0,2.262033988E-3,4.477642069E-4,-1.296866918E-3
1.401425743E0,-2.014022786E-3,-7.739662542E-4,-1.296866918E-3
1.413423375E0,-7.922922377E-4,4.477642069E-4,5.357288173E-4
1.425421840E0,-7.922922377E-4,4.477642069E-4,-7.513642049E-5
1.437420071E0,-7.922922377E-4,4.477642069E-4,1.757459249E-3
1.449418536E0,4.294382525E-4,-1.384831499E-3,-1.907732105E-3
1.461416567E0,-1.403157483E-3,2.280360088E-3,-1.296866918E-3
1.473414632E0,-1.814269781E-4,1.058629481E-3,-6.860016729E-4
1.485413097E0,1.651168684E-3,-7.739662542E-4,5.357288173E-4
1.497411828E0,-1.814269781E-4,4.477642069E-4,-1.296866918E-3
1.509410293E0,4.294382525E-4,-7.739662542E-4,5.357288173E-4
1.521408758E0,4.294382525E-4,-2.606561873E-3,-6.860016729E-4
1.533408023E0,1.040303498E-3,1.669494784E-3,5.357288173E-4
1.545406421E0,1.040303498E-3,4.477642069E-4,-7.513642049E-5
1.557404953E0,4.294382525E-4,-7.739662542E-4,-7.513642049E-5
1.569403418E0,1.040303498E-3,1.058629481E-3,-6.860016729E-4
1.581401916E0,-3.235753393E-3,2.891225042E-3,1.757459249E-3
1.593400512E0,-1.403157483E-3,4.477642069E-4,-6.860016729E-4
1.605399175E0,-2.624887973E-3,-7.739662542E-4,-6.860016729E-4
1.617397838E0,4.294382525E-4,-1.384831499E-3,-6.860016729E-4
1.629396568E0,-1.814269781E-4,2.891225042E-3,5.357288173E-4
1.641395432E0,-1.814269781E-4,-7.739662542E-4,1.146594062E-3
1.653394163E0,4.294382525E-4,-1.631010236E-4,5.357288173E-4
1.665392628E0,-2.014022786E-3,2.280360088E-3,1.146594062E-3
1.677390660E0,1.040303498E-3,-1.995696686E-3,-7.513642049E-5
1.689389125E0,4.294382525E-4,-1.631010236E-4,-7.513642049E-5
1.701387290E0,-7.922922377E-4,-1.384831499E-3,-7.513642049E-5
1.713385489E0,2.872899408E-3,-2.606561873E-3,-6.860016729E-4
1.725384021E0,-7.922922377E-4,-2.606561873E-3,1.146594062E-3
1.737382919E0,4.294382525E-4,-1.995696686E-3,1.146594062E-3
1.749381317E0,1.040303498E-3,-1.631010236E-4,-6.860016729E-4
1.761379782E0,4.294382525E-4,-1.631010236E-4,-6.860016729E-4
1.773377314E0,4.294382525E-4,1.058629481E-3,-6.860016729E-4
1.785376546E0,2.872899408E-3,-7.739662542E-4,-7.513642049E-5
1.797374578E0,-1.814269781E-4,2.891225042E-3,-1.296866918E-3
1.809373043E0,-7.922922377E-4,4.477642069E-4,-6.860016729E-4
1.821371674E0,1.651168684E-3,4.477642069E-4,5.357288173E-4
1.833370172E0,-1.814269781E-4,1.058629481E-3,-1.907732105E-3
1.845367870E0,-1.814269781E-4,2.280360088E-3,-7.513642049E-5
1.857366668E0,1.651168684E-3,-3.828292713E-3,-6.860016729E-4
1.869365133E0,2.872899408E-3,1.058629481E-3,-1.907732105E-3
1.881363798E0,-1.814269781E-4,-1.995696686E-3,-1.296866918E-3
1.893362730E0,-1.814269781E-4,2.280360088E-3,5.357288173E-4
1.905361128E0,4.294382525E-4,-7.739662542E-4,1.146594062E-3
1.917359893E0,-1.814269781E-4,-1.631010236E-4,-6.860016729E-4
1.929358358E0,4.294382525E-4,1.058629481E-3,-6.860016729E-4
1.941356223E0,1.040303498E-3,1.058629481E-3,-7.513642049E-5
1.953355321E0,-7.922922377E-4,-7.739662542E-4,5.357288173E-4
1.965353786E0,1.040303498E-3,-1.384831499E-3,-6.860016729E-4
1.977351651E0,-7.922922377E-4,4.477642069E-4,-6.860016729E-4
1.989350182E0,1.040303498E-3,2.280360088E-3,-6.860016729E-4
2.001349145E0,1.040303498E-3,-7.739662542E-4,5.357288173E-4
2.013348608E0,-2.014022786E-3,1.058629481E-3,5.357288173E-4
2.025347271E0,-1.814269781E-4,-3.217427293E-3,-6.860016729E-4
2.037346334E0,-1.814269781E-4,4.477642069E-4,-6.860016729E-4
2.049344998E0,4.294382525E-4,-1.384831499E-3,-1.296866918E-3
2.061343329E0,4.294382525E-4,4.477642069E-4,-7.513642049E-5
2.073339761E0,-1.403157483E-3,-1.631010236E-4,-7.513642049E-5
2.085338226E0,4.294382525E-4,1.058629481E-3,5.357288173E-4
2.097336357E0,-1.814269781E-4,-1.631010236E-4,1.146594062E-3
2.109334755E0,-1.403157483E-3,1.058629481E-3,-7.513642049E-5
2.121333287E0,4.294382525E-4,-1.384831499E-3,-6.860016729E-4
2.131333353E0,1.040303498E-3,-1.631010236E-4,-7.513642049E-5
2.143332751E0,-1.814269781E-4,-1.995696686E-3,-7.513642049E-5
2.155331482E0,-1.814269781E-4,-1.631010236E-4,-6.860016729E-4
2.167329613E0,-7.922922377E-4,2.891225042E-3,-7.513642049E-5
2.179328211E0,-7.922922377E-4,-7.739662542E-4,-7.513642049E-5
2.191325309E0,1.040303498E-3,-1.631010236E-4,5.357288173E-4
2.203324873E0,-2.014022786E-3,-7.739662542E-4,-1.296866918E-3
2.215323338E0,-1.814269781E-4,4.477642069E-4,-1.296866918E-3
2.227322203E0,4.294382525E-4,-2.606561873E-3,1.146594062E-3
2.239320535E0,4.294382525E-4,-7.739662542E-4,5.357288173E-4
2.251319099E0,1.040303498E-3,-1.631010236E-4,-7.513642049E-5
2.263316596E0,-1.814269781E-4,1.669494784E-3,5.357288173E-4
2.275315926E0,-1.814269781E-4,1.058629481E-3,5.357288173E-4
2.287315323E0,-7.922922377E-4,-1.631010236E-4,-6.860016729E-4
2.299315055E0,-1.403157483E-3,-7.739662542E-4,-7.513642049E-5
