"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.053874535E0,5.243461728E-1,-4.812492430E-1,9.842864037E0
1.065873367E0,5.051919818E-1,-4.908263385E-1,9.828497887E0
1.077871832E0,4.932205975E-1,-5.099805593E-1,9.842864037E0
1.089870296E0,4.908263385E-1,-5.411061049E-1,9.854835510E0
1.101868561E0,4.908263385E-1,-5.075862408E-1,9.838075638E0
1.113867026E0,4.980091453E-1,-4.692778587E-1,9.835680962E0
1.125865424E0,4.740664065E-1,-4.644893110E-1,9.833286285E0
1.137863889E0,4.620950520E-1,-4.956148863E-1,9.814132690E0
1.149862421E0,4.453351200E-1,-5.075862408E-1,9.814132690E0
1.161860686E0,4.740664065E-1,-4.668835998E-1,9.835680962E0
1.173859282E0,5.075862408E-1,-4.357580245E-1,9.850046158E0
1.185858715E0,4.884320498E-1,-4.836435020E-1,9.811738014E0
1.197857779E0,4.980091453E-1,-5.051919818E-1,9.823709488E0
1.209856109E0,5.267404318E-1,-4.980091453E-1,9.850046158E0
1.221855772E0,5.435003638E-1,-4.860377908E-1,9.840469360E0
1.233854837E0,5.339232683E-1,-4.908263385E-1,9.816526413E0
1.245853502E0,5.027977228E-1,-5.004034638E-1,9.816526413E0
1.257852168E0,4.884320498E-1,-4.956148863E-1,9.838075638E0
1.269851566E0,5.171633363E-1,-4.956148863E-1,9.840469360E0
1.281849964E0,5.004034638E-1,-5.075862408E-1,9.835680962E0
1.293848429E0,4.812492430E-1,-5.027977228E-1,9.833286285E0
1.305846194E0,5.004034638E-1,-4.956148863E-1,9.852440834E0
1.317844726E0,4.764606953E-1,-4.956148863E-1,9.845257759E0
1.329843124E0,4.716721475E-1,-5.051919818E-1,9.842864037E0
1.341841589E0,4.692778587E-1,-4.812492430E-1,9.835680962E0
1.353840054E0,4.716721475E-1,-4.692778587E-1,9.818921089E0
1.365838919E0,4.788549542E-1,-4.884320498E-1,9.830892563E0
1.377837317E0,4.860377908E-1,-4.788549542E-1,9.821314812E0
1.389834815E0,5.243461728E-1,-4.740664065E-1,9.826104164E0
1.401833347E0,5.363175869E-1,-4.692778587E-1,9.845257759E0
1.413831812E0,5.051919818E-1,-5.027977228E-1,9.826104164E0
1.425830277E0,4.980091453E-1,-5.075862408E-1,9.840469360E0
