"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,-7.475981861E-2,4.147025049E-1,2.373695374E-3
1.000000000E-2,-7.463993877E-2,4.143570065E-1,2.360343933E-3
2.000000000E-2,-6.496031582E-2,4.020385444E-1,4.741668701E-3
3.000000000E-2,-7.931660861E-2,4.040209651E-1,7.121086121E-3
4.000000000E-2,-7.207260281E-2,4.084600210E-1,1.429080963E-2
5.000000000E-2,-6.951929629E-2,3.937513530E-1,7.095336914E-3
6.000200000E-2,-7.185034454E-2,3.981708288E-1,2.292633057E-3
7.000200000E-2,-6.454540789E-2,3.882484138E-1,-2.508163452E-3
8.000200000E-2,-7.166877389E-2,4.047174156E-1,9.452819824E-3
9.000200000E-2,-7.641479373E-2,4.163577259E-1,4.651069641E-3
1.000020000E-1,-8.586887270E-2,3.872612119E-1,-7.332801819E-3
1.100020000E-1,-6.903882325E-2,3.963713646E-1,7.015228271E-3
1.200020000E-1,-6.659395993E-2,4.006919861E-1,4.602432251E-3
1.300020000E-1,-5.929442123E-2,4.004051089E-1,6.986618042E-3
1.400020000E-1,-5.678308010E-2,4.025124609E-1,-2.069473267E-4
1.500020000E-1,-6.870386750E-2,3.948616982E-1,1.653575897E-2
1.600020000E-1,-7.085510343E-2,3.968594670E-1,6.944656372E-3
1.700028330E-1,-7.086607814E-2,3.844744861E-1,1.171684265E-2
1.800028330E-1,-6.356115639E-2,3.984948397E-1,9.310722351E-3
1.900028330E-1,-6.641307473E-2,3.518749774E-1,1.273250580E-2
2.000028330E-1,-6.027164310E-2,3.164433241E-1,6.855964661E-3
2.100028330E-1,-4.023495317E-2,2.941115201E-1,-1.194953918E-3
2.200028330E-1,-4.009045660E-2,2.509300709E-1,2.902030945E-3
2.300028330E-1,-1.900398359E-2,2.441550344E-1,-4.829406738E-3
2.400028330E-1,-3.219517693E-2,1.968060434E-1,-7.658004761E-3
2.500033710E-1,-3.130706027E-2,2.046468705E-1,-7.997512817E-3
2.600033710E-1,-2.828595042E-2,1.664514691E-1,1.088619232E-2
2.700033710E-1,-2.801591903E-2,1.327492446E-1,-1.293182373E-3
2.800033710E-1,-2.797184139E-2,1.249006391E-1,-1.452445984E-3
2.900033710E-1,-4.003535211E-2,1.331580430E-1,1.039791107E-2
3.000033710E-1,-1.367121190E-2,1.162456572E-1,-1.665115356E-3
3.100038370E-1,-1.879846677E-2,1.027842909E-1,6.580352783E-4
3.200038370E-1,-2.177694067E-2,8.077140898E-2,-1.790046692E-3
