"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.600025200E-1,3.815583885E-3,-7.108224556E-3,5.970001221E-4
7.700025200E-1,-1.521760225E-2,-4.661640152E-3,-4.190444946E-3
7.800025200E-1,1.604200155E-2,1.409203000E-2,-6.582260132E-3
7.900025200E-1,8.935369551E-3,-5.105495453E-3,6.008148193E-4
8.000025200E-1,-2.973824739E-3,-1.223282702E-2,-1.793861389E-3
8.100029530E-1,8.655346930E-3,9.512398392E-3,5.979537964E-4
8.200029530E-1,8.836075664E-3,-7.179468870E-3,2.993583679E-3
8.300029530E-1,6.618075073E-3,9.570410475E-3,-8.975982666E-3
8.400029530E-1,9.196467698E-3,7.302930579E-3,6.017684937E-4
8.500029530E-1,1.515187323E-3,-2.634512633E-2,3.890609741E-2
8.700025190E-1,6.487928331E-3,7.301665843E-3,1.017570496E-2
8.800025190E-1,-1.054950058E-2,1.683595031E-2,7.780075073E-3
8.900025190E-1,-8.313670754E-3,2.126075886E-2,-1.137447357E-2
9.000025190E-1,5.860202014E-3,1.108565181E-2,-2.813339233E-2
9.100025190E-1,-3.937311471E-3,7.550343871E-4,5.979537964E-4
9.200025190E-1,5.585707724E-3,1.999131031E-2,2.992630005E-3
9.300025190E-1,-6.471276283E-3,7.219335064E-3,-2.094841003E-2
9.400025190E-1,-6.432533264E-3,-3.047466278E-3,-4.186630249E-3
9.500029850E-1,-3.927178681E-3,-3.505595028E-3,-4.183769226E-3
9.600029850E-1,1.522704959E-2,1.283027232E-3,-6.578445435E-3
9.700029850E-1,-4.097074270E-3,-1.124832779E-2,2.454853058E-2
9.800029850E-1,-6.494693458E-3,-1.729827374E-3,5.393981934E-3
9.900029850E-1,-6.493337452E-3,6.843619049E-4,6.055831909E-4
1.010002518E0,7.058680058E-4,-4.163559526E-3,-1.789093018E-3
1.020002518E0,-8.463717997E-3,-8.700480685E-3,-1.787185669E-3
1.030002518E0,1.315408200E-2,-1.604432613E-2,-4.179954529E-3
1.040002518E0,1.179367304E-3,-8.920101449E-3,-1.786231995E-3
1.050002518E0,1.152373850E-3,5.997341126E-3,-1.136493683E-2
1.060002951E0,1.310247928E-2,-5.324363708E-3,-1.136684418E-2
1.070002951E0,2.507051453E-2,1.616550982E-2,6.046295166E-4
1.080002951E0,7.841683924E-3,4.240591079E-3,-4.187583923E-3
1.090002951E0,-8.859194815E-3,-5.505643785E-4,2.995491028E-3
1.100002951E0,-2.304711193E-2,-5.328953266E-3,-6.580352783E-3
1.120002517E0,-4.069276154E-3,-5.305819213E-4,-1.137065887E-2
1.130002517E0,-1.736037433E-3,1.379923150E-2,-4.187583923E-3
1.140002983E0,-1.837833971E-2,1.139852405E-2,1.496696472E-2
1.150002983E0,-1.762942970E-2,8.705507964E-3,1.018524170E-2
1.160002983E0,-1.446788013E-2,-1.076811925E-2,5.403518677E-3
1.170002983E0,1.023395360E-2,3.475014120E-3,-1.613903046E-2
1.180002983E0,8.433073759E-3,-1.834357716E-2,-4.161834717E-3
1.190002983E0,2.312782034E-2,1.066572964E-3,-8.949279785E-3
1.200003449E0,6.424427032E-3,1.060126349E-2,-1.852703094E-2
1.210003449E0,3.390051425E-3,5.614105612E-3,-1.770019531E-3
1.220003449E0,5.666904151E-3,-1.113888249E-2,-1.613616943E-2
1.230003449E0,8.003547788E-3,-3.933157772E-3,-1.771926880E-3
1.240003449E0,-4.294991493E-3,-1.421600580E-3,6.198883057E-4
1.260003215E0,-6.569355726E-3,1.776516810E-2,6.208419800E-4
1.270003215E0,-8.901439607E-3,3.455013037E-3,5.409240723E-3
1.280003215E0,3.188520670E-3,-6.109368056E-3,-4.166603088E-3
1.290003215E0,5.818948150E-3,8.262436837E-3,-4.164695740E-3
1.300003215E0,1.804605871E-2,3.478910774E-3,1.020240784E-2
1.310003648E0,-1.364886761E-3,1.060333103E-3,7.806777954E-3
1.320003648E0,3.663279116E-3,1.549110189E-2,-6.557464600E-3
1.330004114E0,1.035675406E-3,-3.963571042E-3,6.246566772E-4
1.340004114E0,3.235846758E-3,-3.299763054E-2,1.020145416E-2
1.350004114E0,2.231594548E-2,3.333486617E-3,5.410194397E-3
1.370003680E0,-8.785769343E-3,6.139244884E-3,1.019763947E-2
1.380003680E0,-1.543104649E-3,-3.421738744E-3,-8.955001831E-3
1.390004180E0,1.301162690E-2,-8.338930085E-3,3.018379211E-3
1.400004180E0,8.283086121E-3,-1.071664318E-2,5.412101746E-3
1.410004180E0,1.531226933E-2,-1.031493023E-2,5.410194397E-3
1.420004180E0,-1.944534481E-3,-1.589320600E-4,-6.567001343E-3
1.430004180E0,-2.378477156E-2,9.808434173E-3,1.737213135E-2
1.450004179E0,-1.885368675E-2,5.444390699E-3,1.258373260E-2
1.460004179E0,1.706524938E-2,-4.053821787E-3,3.006935120E-3
1.470004179E0,2.939373255E-3,-1.835390180E-2,5.401611328E-3
1.480004179E0,2.228287980E-2,-1.369356550E-2,6.151199341E-4
1.490004179E0,2.834729850E-3,-1.370877028E-3,-8.965492249E-3
1.510003712E0,4.863776267E-3,-5.685545504E-3,5.395889282E-3
1.520003712E0,7.216773927E-3,1.822066680E-2,1.018524170E-2
1.530003712E0,2.139848098E-2,2.288265899E-2,-1.615333557E-2
1.540003712E0,5.912939087E-2,5.113684386E-2,5.392074585E-3
1.560003911E0,2.671620846E-1,2.650872171E-1,5.369186401E-3
1.570003911E0,2.504996061E-1,2.708808780E-1,-9.016990662E-3
1.580003911E0,1.693946719E-1,4.654758871E-1,1.012611389E-2
1.590003911E0,2.653220892E-1,7.121927738E-1,2.943992615E-3
1.600003911E0,4.117561281E-1,1.150506973E0,3.646564484E-2
1.620003477E0,2.633563280E-1,7.037735581E-1,2.191320419E0
1.640003010E0,9.256038815E-2,9.153214097E-1,1.626789093E0
1.650003010E0,5.872580409E-1,4.395868778E-1,9.553709030E-1
1.660003010E0,3.085538447E-1,2.306735516E-1,8.453760147E-1
1.670003010E0,-1.666682065E-1,2.320298851E-1,8.471651077E-1
1.680003010E0,-4.269164205E-1,7.107202709E-2,1.149913788E0
1.700002576E0,-3.833598495E-1,-5.516789854E-2,1.500236511E0
1.710002576E0,-1.819540858E-1,-8.589991927E-2,1.150037766E0
1.720002576E0,-2.553472519E-1,-6.530432403E-2,4.865798950E-1
1.730002576E0,-3.466917872E-1,-6.834170222E-2,3.118457794E-1
1.740002576E0,-3.630256057E-1,-1.879951358E-2,-3.004837036E-1
1.750002576E0,-1.502161622E-1,7.020470500E-2,-4.427032471E-1
1.760002576E0,6.195381284E-1,2.436773181E-1,-4.972457886E-3
1.770002576E0,8.964112997E-1,3.453739583E-1,5.197277069E-1
1.780002576E0,1.226837158E0,4.113790691E-1,1.306990623E0
1.790002576E0,1.176055074E0,4.977523685E-1,1.301483154E0
1.800002576E0,6.605341434E-1,2.970407009E-1,1.387948990E0
1.810002576E0,5.062698126E-1,3.563514948E-1,1.097462654E0
1.820002576E0,6.876992583E-1,4.592756033E-1,9.995403290E-1
1.830002576E0,6.074836254E-1,5.020090342E-1,1.237576485E0
1.840002576E0,4.978747964E-1,5.083969235E-1,1.895416260E0
1.850002576E0,6.234843731E-1,3.750125468E-1,1.928868294E0
1.870002142E0,4.939283729E-1,-1.615582705E-1,1.464223862E0
1.880002142E0,3.017376065E-1,-2.749289870E-1,7.765455246E-1
1.890002142E0,2.547200918E-1,-3.073068857E-1,2.540636063E-1
1.900002142E0,1.836571693E-1,-2.577224076E-1,2.170658112E-2
1.910002142E0,8.258298039E-2,-2.638461590E-1,1.275472641E-1
1.920002142E0,5.807131529E-2,-8.058296517E-3,-1.012992859E-1
1.930002142E0,2.519423962E-1,1.963088661E-1,-1.192007065E-1
1.940002142E0,5.939406753E-1,3.502962589E-1,1.022405624E-1
1.950002608E0,7.516918778E-1,3.619377017E-1,3.918828964E-1
1.960002608E0,8.154478669E-1,5.204108357E-1,1.037663460E0
1.970002608E0,9.029416442E-1,7.060142756E-1,1.489159584E0
1.980002608E0,1.033926606E0,9.105407000E-1,1.763417244E0
1.990002608E0,1.016733885E0,9.093858004E-1,1.762590408E0
2.010002541E0,1.091261148E0,4.860888720E-1,1.592067719E0
2.020002541E0,8.643161058E-1,1.440474987E-1,1.235709190E0
2.030002807E0,5.814813972E-1,4.252015054E-2,9.323530197E-1
2.040002807E0,2.711505890E-1,7.412749529E-2,4.927005768E-1
2.060002773E0,3.128429651E-1,-1.107515991E-1,7.075977325E-1
2.070002773E0,3.239013255E-1,-2.328425497E-1,8.494014740E-1
2.080002773E0,1.446448714E-1,-1.339358389E-1,6.080446243E-1
2.090002773E0,5.241289735E-2,-1.069352627E-1,4.002246857E-1
2.100002773E0,3.366908431E-1,-4.191445708E-1,1.899585724E-1
2.110002773E0,4.569568634E-1,-7.629721165E-1,7.783794403E-2
2.120002773E0,2.119601369E-1,-9.315470457E-1,1.380052567E-1
2.130002773E0,2.545043528E-1,-6.602363586E-1,2.744865417E-1
2.140003273E0,5.553290844E-1,-1.935704350E-1,4.130496979E-1
2.150003273E0,8.306027651E-1,-2.779129148E-2,6.805009842E-1
2.160003273E0,8.506923914E-1,-7.489413023E-3,9.933071136E-1
2.170003273E0,5.995030403E-1,6.563067436E-2,9.562559128E-1
2.180003273E0,2.011699975E-1,2.078250945E-1,8.474283218E-1
2.190003273E0,-4.421289265E-2,2.243923545E-1,7.172231674E-1
2.200003739E0,-6.030313671E-2,2.302675247E-1,7.165699005E-1
2.210003739E0,-1.919527650E-1,-1.215469837E-2,3.115873337E-1
2.220003739E0,6.194156408E-2,-6.090067625E-1,1.702518463E-1
2.230003739E0,8.071409166E-2,-7.773077488E-1,1.177654266E-1
2.240003739E0,3.239448369E-2,-6.895859241E-1,4.053936005E-1
2.260003272E0,6.432372928E-1,-1.363598704E-1,4.440479279E-1
2.270003272E0,7.221224308E-1,-3.363019228E-2,4.368324280E-1
2.280003272E0,2.985911965E-1,-1.338650286E-1,4.511251450E-1
2.290003272E0,-7.752192020E-2,-2.080560774E-1,2.116298676E-1
2.300003272E0,-4.044452310E-1,-1.723269820E-1,-4.635057449E-1
2.310003705E0,-4.801425338E-1,-2.537415624E-1,-6.426210403E-1
2.320003705E0,-3.336090744E-1,-4.862012267E-1,-4.983739853E-1
2.340003438E0,6.782764196E-1,-9.222071171E-1,-6.299200058E-1
2.350003438E0,1.032607555E0,-9.121631384E-1,-5.133686066E-1
2.370003004E0,1.560208917E0,-4.453093410E-1,-1.281805038E-1
2.380003004E0,1.283730745E0,-4.427199364E-1,-1.352977753E-1
2.390003004E0,1.279623866E0,-4.241649508E-1,-1.363792419E-1
2.400003004E0,1.650759280E-1,-5.121676326E-1,2.986717224E-2
2.410003004E0,-7.179874182E-2,-4.965245426E-1,-1.200151443E-1
2.420003004E0,-1.217938066E-1,-3.219429553E-1,-1.236352921E-1
2.430003004E0,-2.093133330E-2,-2.135720700E-1,7.456493378E-2
2.450002970E0,1.545283437E0,1.705909967E-1,3.214931488E-1
2.460002970E0,2.225634098E0,8.226597309E-2,2.720499039E-1
2.470003970E0,2.121021986E0,-1.023643613E-1,1.889772415E-1
2.480003970E0,1.280422568E0,-1.686868519E-1,8.398914337E-2
2.490003970E0,6.493099928E-1,-1.092015505E-1,4.792499542E-2
2.510003503E0,-2.561029792E-1,-2.526352704E-1,-3.362226486E-1
2.520003503E0,-6.281009912E-1,-4.974500537E-1,-2.050361633E-1
2.530003503E0,-6.095643044E-1,-5.252240896E-1,-1.393604279E-2
2.540003503E0,-8.723914623E-3,-3.358271718E-1,8.144664764E-2
2.550003503E0,5.714927912E-1,-1.429184377E-1,2.584371567E-1
2.560003936E0,1.585838318E0,3.618857265E-2,5.934505463E-1
2.570003936E0,1.918892145E0,6.605485082E-2,7.105054855E-1
2.580003936E0,1.731124282E0,-1.664528251E-2,9.112863541E-1
2.590003936E0,1.084677339E0,-8.974400163E-2,6.762561798E-1
2.600003936E0,5.821229517E-2,-3.112796545E-1,3.790731430E-1
2.620003502E0,-1.238128543E0,-5.551267862E-1,1.421117783E-1
2.639936834E0,-1.078594089E0,-6.527647972E-1,-7.342014313E-1
2.659870166E0,7.959645987E-1,-1.523406267E0,-9.974966049E-1
2.679803965E0,1.288561106E0,-1.060693860E0,-7.476854324E-1
2.699737297E0,3.374497592E-1,-4.260909557E-1,-5.537662506E-1
2.719670629E0,-6.224402189E-1,-8.561469316E-1,-4.455757141E-2
2.739603961E0,-5.662525296E-1,-1.178705573E0,-6.550607681E-1
2.759536827E0,6.106476784E-1,-1.387270212E0,-9.025774002E-1
2.779469159E0,7.713826299E-1,-9.832627177E-1,-7.569608688E-1
2.799402491E0,1.944892555E-1,-5.099599361E-1,2.114162445E-1
2.819335823E0,-2.800341845E-1,-5.183815360E-1,8.457536697E-1
2.839269155E0,-5.091934800E-1,-3.977335989E-1,8.495922089E-1
2.859202054E0,-5.958137512E-1,-3.297316134E-1,6.182575226E-2
2.879135386E0,1.059212685E-1,-5.859221816E-1,-6.847686768E-1
2.899068718E0,3.006767631E-1,-3.092729449E-1,-3.810710907E-1
2.919002084E0,2.314102948E-1,2.300841510E-1,2.569255829E-1
2.929002084E0,-8.993408084E-2,9.358695149E-2,5.421714783E-1
2.939002084E0,-5.700258017E-1,-2.895610929E-1,8.345499039E-1
2.949002084E0,-9.169113636E-1,-4.249559939E-1,9.089336395E-1
2.959002084E0,-1.496524334E0,-5.138211250E-1,7.225465775E-1
2.979001617E0,-1.120477676E0,-2.888374031E-1,1.097917557E-1
2.989001617E0,-7.827762365E-1,-1.745110899E-1,2.028532028E-1
2.999001617E0,-6.271195412E-2,-2.122109234E-1,-2.545986176E-1
3.009001617E0,3.156242073E-1,-3.349604309E-1,-3.287982941E-1
3.019001617E0,4.157478213E-1,-4.782575965E-1,-5.635004044E-1
3.029001617E0,3.152149618E-1,-4.863895476E-1,-6.860857010E-1
3.039001617E0,-8.116459846E-2,-5.527215004E-1,-6.052360535E-1
3.049001617E0,-5.171630383E-1,-4.858515859E-1,-4.551353455E-1
3.059001617E0,-1.003962278E0,-4.884532988E-1,-5.276260376E-1
3.069001617E0,-1.122463107E0,-5.091803074E-1,-5.400962830E-1
3.079001617E0,-1.165801406E0,-5.800242424E-1,-3.681106567E-1
3.089001617E0,-1.086613655E0,-5.211102962E-1,-4.186544418E-1
3.099001617E0,-9.446951747E-1,-3.778570890E-1,-3.709125519E-1
3.109001617E0,-8.215122223E-1,-1.859567165E-1,-3.781337738E-1
3.119001617E0,-3.888945580E-1,-1.788010448E-1,-1.242656708E-1
3.139001183E0,-1.327518523E-1,-5.702950358E-1,-5.404024124E-1
3.149001183E0,-2.428724468E-1,-5.326498151E-1,-8.464336395E-1
3.159001183E0,-4.639680386E-1,-4.216401577E-1,-9.800987244E-1
3.169001649E0,-6.402723789E-1,-5.046716332E-1,-9.321441650E-1
3.179001649E0,-8.538047075E-1,-7.348492146E-1,-9.082355499E-1
3.189001649E0,-7.782065868E-1,-8.365021944E-1,-1.164535522E0
3.199001649E0,-5.279384851E-1,-7.872168422E-1,-1.229222298E0
3.209002082E0,-4.017545283E-1,-6.249343753E-1,-8.032941818E-1
3.229001615E0,-6.855045557E-1,-2.483166903E-1,-6.645202637E-2
3.239001615E0,-7.193036079E-1,-2.074035108E-1,4.292049408E-1
3.249001615E0,-5.623067021E-1,-1.737939119E-1,5.850973129E-1
3.259001615E0,-9.934660792E-2,8.945707977E-2,4.466514587E-1
3.269001615E0,9.200477600E-2,3.419158459E-1,6.457967758E-1
3.279001615E0,1.902576685E-1,4.374536872E-1,5.455360413E-1
3.289001615E0,2.336052358E-1,5.303946733E-1,5.719413757E-1
3.299001615E0,2.822079659E-1,6.361502409E-1,5.409002304E-1
3.309001615E0,1.323092729E-1,6.354663372E-1,2.556924820E-1
3.319001615E0,5.467715487E-2,5.878268480E-1,4.110527039E-1
3.329001615E0,-3.512109816E-1,3.797381222E-1,4.752464294E-1
3.339001615E0,-7.642305493E-1,2.314751446E-1,6.545305252E-1
3.349001615E0,-8.094525337E-1,4.337139130E-1,5.873765945E-1
3.359001615E0,-4.350688457E-1,1.026092410E0,5.754728317E-1
3.369001615E0,-1.906633079E-1,1.191506863E0,7.338075638E-1
3.379001615E0,6.718990207E-2,1.243607402E0,1.321015358E0
3.389001615E0,6.495314837E-2,1.283807516E0,1.460803032E0
3.399001615E0,1.155507565E-2,1.278516054E0,1.461998940E0
3.409001615E0,-3.079609573E-1,1.339542627E0,1.410743713E0
3.419002081E0,-3.478298783E-1,1.501652002E0,1.453072548E0
3.429002514E0,-3.340208828E-1,1.527730346E0,1.610376358E0
3.439002514E0,-3.920795918E-1,1.486605763E0,1.341613770E0
3.449002514E0,-3.658787012E-1,1.340105414E0,1.223041534E0
3.459002514E0,-5.411690474E-1,8.997553587E-1,1.262320518E0
3.479002047E0,-6.966026425E-1,5.765709877E-1,6.724081039E-1
3.489002047E0,-8.494648337E-1,4.861557484E-1,3.378801346E-1
3.499002047E0,-8.613301516E-1,4.267674983E-1,3.387956619E-1
3.509002047E0,-7.983649373E-1,3.140183091E-1,3.256320953E-1
3.519002047E0,-6.861962676E-1,1.690824330E-1,5.521898270E-1
3.529002047E0,-6.602773070E-1,2.279613614E-1,4.674386978E-1
3.539002047E0,-4.049503803E-1,3.723072410E-1,2.366504669E-1
