"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.799780000E-1,-3.318926748E-1,4.054222156E-1,5.605864883E-1,7.673181422E-1
5.899760000E-1,-2.280391447E-1,4.709514863E-1,4.052796531E-1,6.618525147E-1
5.999470000E-1,-4.739661280E-1,6.378392802E-1,4.588560091E-1,9.176228392E-1
6.099770000E-1,-7.039191759E-1,5.106801738E-1,2.619059619E-1,9.082352003E-1
6.199750000E-1,-8.492709437E-1,3.181062193E-1,-1.292390524E-1,9.160542753E-1
6.299450000E-1,-9.592298075E-1,4.333356902E-1,-1.788044560E-1,1.067648199E0
6.399750000E-1,-8.865105446E-1,5.944329865E-1,-7.631318092E-2,1.070081877E0
6.499730000E-1,-9.315004836E-1,5.357987524E-1,-4.614600209E-2,1.075594211E0
6.599660000E-1,-8.615919042E-1,3.763562182E-1,5.409957668E-2,9.417597233E-1
6.699750000E-1,-8.720868523E-1,4.302986829E-1,2.458554097E-2,9.727779208E-1
6.799730000E-1,-8.747548637E-1,4.317675035E-1,2.477611909E-2,9.758243206E-1
6.899600000E-1,-1.223537769E0,5.569543806E-1,2.236455651E-1,1.362813338E0
6.999730000E-1,-1.507972212E0,5.380441563E-1,5.191229776E-2,1.601925901E0
7.099710000E-1,-1.368013258E0,5.028625195E-1,2.092837710E-2,1.457658734E0
7.199660000E-1,-1.309799987E0,4.342492080E-1,3.623755941E-2,1.380384563E0
7.299720000E-1,-1.324373149E0,5.064024604E-1,1.104758307E-1,1.422185853E0
7.399700000E-1,-1.397477524E0,5.122699221E-1,1.852921062E-1,1.499899019E0
7.499470000E-1,-1.541921293E0,2.621518373E-1,2.731418070E-1,1.587718900E0
7.599710000E-1,-1.395436554E0,1.949702165E-1,5.688319029E-1,1.519482245E0
7.699690000E-1,-1.217167228E0,1.362836682E-1,7.628641529E-1,1.442924466E0
7.799640000E-1,-1.440587583E0,2.374369541E-1,5.113644442E-1,1.546984967E0
7.899700000E-1,-1.991062738E0,2.874107674E-1,3.397141297E-1,2.040181723E0
7.999680000E-1,-2.016677489E0,2.994688407E-1,3.423582771E-1,2.067336178E0
8.099500000E-1,-1.946638517E0,2.676878897E-1,2.071150296E-1,1.975842847E0
8.199680000E-1,-1.787684737E0,1.740045132E-1,1.477569194E-1,1.802200431E0
8.299660000E-1,-1.790501779E0,1.754437688E-1,1.480649306E-1,1.805159372E0
8.399500000E-1,-1.620151045E0,1.195275307E-1,6.962199735E-2,1.626045344E0
8.499680000E-1,-1.619795972E0,6.276955396E-2,1.697256304E-1,1.629872939E0
8.599660000E-1,-1.625967270E0,7.661542716E-2,1.707348050E-1,1.636700907E0
8.699420000E-1,-1.882624661E0,-1.378866755E-2,1.092095522E-1,1.885839990E0
8.799670000E-1,-1.806832906E0,-1.749190337E-2,1.715018866E-1,1.815038295E0
8.899650000E-1,-1.815285787E0,3.218313205E-3,1.730686298E-1,1.823520112E0
8.999350000E-1,-1.172412712E0,-2.328910134E-2,5.409283320E-1,1.291393592E0
9.099650000E-1,-1.294657599E0,9.121273836E-4,5.523000335E-1,1.407541992E0
9.199630000E-1,-1.322555981E0,1.358938713E-2,5.556643387E-1,1.434608605E0
