"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.900051680E-1,-1.259757578E-2,-3.238178790E-3,-1.377201080E-2
8.000051680E-1,1.797400415E-3,6.365258247E-3,5.931854248E-4
8.100051680E-1,-5.331479013E-3,3.940306604E-3,5.931854248E-4
8.300047010E-1,1.138294488E-2,1.345048100E-2,5.931854248E-4
8.400047010E-1,-6.896704435E-4,5.703803152E-3,5.383491516E-3
8.500047010E-1,1.109751314E-2,1.472167671E-2,-1.799583435E-3
8.600047010E-1,-1.295158267E-2,4.734046757E-3,-6.587028503E-3
8.700047010E-1,-1.056284457E-2,-1.476689801E-2,-4.191398621E-3
8.800047670E-1,1.090094447E-2,1.969903708E-3,2.990722656E-3
8.900047670E-1,3.646560013E-3,1.869217679E-2,-1.798629761E-3
9.000047670E-1,-1.085280627E-2,-3.709532320E-4,1.017189026E-2
9.100047670E-1,-1.114524901E-3,3.825061023E-3,-4.190444946E-3
9.200047670E-1,1.321993768E-3,3.836549819E-3,2.992630005E-3
9.300047670E-1,1.094297320E-2,-9.127967060E-4,2.993583679E-3
9.400047670E-1,3.802500665E-3,-5.689907819E-3,-8.977890015E-3
9.500047670E-1,-5.800649524E-3,8.705187589E-3,-1.376628876E-2
9.600047670E-1,2.059324458E-2,8.729737252E-3,7.781982422E-3
9.700047670E-1,-5.839839578E-3,8.749231696E-3,-1.796722412E-3
9.800047670E-1,-2.760842443E-2,1.106847078E-3,-1.855659485E-2
9.900052670E-1,-3.272071481E-3,1.266716048E-2,-1.792907715E-3
1.000005267E0,-7.846325636E-3,-9.268429130E-3,-4.182815552E-3
1.010005267E0,2.092443779E-2,2.652183175E-4,-8.971214294E-3
1.020005767E0,1.378379762E-2,9.853526950E-3,-6.577491760E-3
1.030005767E0,-1.257936656E-2,-4.482872784E-3,-1.789093018E-3
1.040005767E0,-7.681503892E-3,2.666234970E-3,-4.181861877E-3
1.050005767E0,-2.856999636E-3,-7.010422647E-3,-1.787185669E-3
1.060005767E0,1.156248152E-2,-2.252679318E-3,1.018524170E-2
1.080005267E0,9.303487837E-3,2.472668886E-3,3.003120422E-3
1.090005267E0,-2.183529735E-2,9.669810534E-3,6.084442139E-4
1.100005267E0,4.607222974E-3,-4.548970610E-3,-2.093887329E-2
1.110005267E0,-1.478192210E-2,-2.333745360E-4,-8.968353271E-3
1.120005267E0,4.349216819E-3,-2.543121576E-3,-8.968353271E-3
1.130005267E0,1.623906940E-2,4.672069103E-3,7.790565491E-3
1.140005267E0,-5.252376199E-3,-7.274523377E-3,-4.179954529E-3
1.150005267E0,9.204775095E-3,-4.982694983E-3,-8.967399597E-3
1.160005267E0,3.943361342E-3,2.435274422E-3,3.000259399E-3
1.170005267E0,-3.133438528E-3,-2.442609519E-3,7.789611816E-3
1.190005200E0,-5.944445729E-4,-4.733972251E-3,-1.136493683E-2
1.200005200E0,6.617814302E-3,4.869665951E-3,6.065368652E-4
1.210005200E0,-5.881041288E-4,1.657232642E-4,-1.788139343E-3
1.220005200E0,4.187464714E-3,-1.418509707E-2,1.257801056E-2
1.230005200E0,1.505963504E-3,5.026571453E-4,5.391120911E-3
1.240005200E0,1.489706337E-3,7.644686848E-3,1.017951965E-2
1.250005200E0,-3.310352564E-3,-4.284366965E-3,6.027221680E-4
1.260005200E0,3.911793232E-3,2.854708582E-3,2.998352051E-3
1.270005700E0,5.810700357E-3,5.438439548E-4,-1.795768738E-3
1.280005700E0,-3.737062216E-3,2.964448184E-3,-8.976936340E-3
1.300005200E0,-3.525517881E-3,3.021914512E-3,-1.615905762E-2
1.310005200E0,-3.483019769E-3,3.033820540E-3,6.008148193E-4
1.330005166E0,-1.071479917E-2,1.272512972E-2,1.017761230E-2
1.340005166E0,6.046764553E-3,5.570203066E-3,1.017665863E-2
1.350005166E0,-1.072942466E-2,5.529236048E-3,-6.582260132E-3
1.360005166E0,1.089490205E-2,-9.215749800E-3,-8.975028992E-3
1.370005166E0,8.373692632E-3,-1.882745698E-2,-1.615905762E-2
