"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-3.011902794E-2,-2.681409359E0,6.405372620E-1,2.757018551E0
9.984000000E-3,-6.736928970E-2,-2.805674553E0,7.753343582E-1,2.911613244E0
1.997600000E-2,-4.872626066E-2,-2.718218803E0,6.066179276E-1,2.785511268E0
2.997066600E-2,-4.882749170E-2,-2.710068464E0,5.158615112E-1,2.759160797E0
3.996666600E-2,-7.157540321E-2,-2.779386044E0,6.657581329E-1,2.858906034E0
4.996346600E-2,-2.528258227E-2,-2.677907944E0,7.602825165E-1,2.783856977E0
5.996079900E-2,-2.788549475E-2,-2.673605919E0,7.332267761E-1,2.772465999E0
6.995851300E-2,-3.740151227E-2,-2.625399113E0,7.091646194E-1,2.719748855E0
7.995651300E-2,-5.281922594E-2,-2.599645615E0,5.872793198E-1,2.665678936E0
8.995473500E-2,-7.231508195E-2,-2.662121296E0,6.951045990E-1,2.752324412E0
9.985313500E-2,-3.686729446E-2,-2.653167725E0,7.375364304E-1,2.754018547E0
1.097621350E-1,-3.515194356E-2,-2.648309708E0,7.294244766E-1,2.747151258E0
1.196774680E-1,-1.972648129E-2,-2.680863380E0,7.497072220E-1,2.783788519E0
1.295993140E-1,-3.171002120E-2,-2.621496201E0,5.804977417E-1,2.685186303E0
1.395267420E-1,-5.787099153E-2,-2.605198145E0,6.100034714E-1,2.676286730E0
1.494590080E-1,-5.794584751E-2,-2.645642281E0,7.254362106E-1,2.743909345E0
1.593955080E-1,-2.923998982E-3,-2.655042410E0,6.709108353E-1,2.738499607E0
1.693357430E-1,-5.116612837E-2,-2.673018932E0,6.360588074E-1,2.748130090E0
1.792792980E-1,-4.846545309E-2,-2.670572519E0,6.279649734E-1,2.743837912E0
1.892258240E-1,-1.462346129E-2,-2.621707201E0,6.371793747E-1,2.698065983E0
1.991750240E-1,-5.777955055E-2,-2.616894007E0,7.089986801E-1,2.711853950E0
2.091266430E-1,-4.578787088E-2,-2.576179504E0,6.778678894E-1,2.664263922E0
2.190811880E-1,-2.993479371E-2,-2.325829268E0,5.422868729E-1,2.388399658E0
2.290370140E-1,-4.805511981E-2,-2.126089573E0,4.866256714E-1,2.181598201E0
2.389946800E-1,-1.284066960E-2,-1.925410509E0,3.855829239E-1,1.963681416E0
2.489540400E-1,-2.297535539E-3,-1.743571758E0,4.238386154E-1,1.794348608E0
2.589155400E-1,-4.550415277E-2,-1.547225833E0,4.415235519E-1,1.609633950E0
2.688779100E-1,-4.354541749E-2,-1.390715480E0,4.039392471E-1,1.448845287E0
2.788416240E-1,-4.608122632E-2,-1.249093890E0,2.573385239E-1,1.276159137E0
2.888065890E-1,-3.602065146E-2,-1.151635528E0,2.113246918E-1,1.171417945E0
2.987727220E-1,1.440703869E-2,-1.059038401E0,1.933174133E-1,1.076634348E0
3.087393880E-1,-1.736291870E-2,-9.590196609E-1,1.932163239E-1,9.784440346E-1
3.187060540E-1,-8.484188467E-3,-8.486506343E-1,1.674346924E-1,8.650515920E-1
3.286727200E-1,-1.686793566E-2,-7.464634776E-1,1.203184128E-1,7.562861701E-1
3.386393860E-1,-2.538750321E-2,-6.466240287E-1,1.448068619E-1,6.631260718E-1
3.486060520E-1,-2.406622842E-2,-5.667467713E-1,1.566543579E-1,5.884910144E-1
3.585732180E-1,7.685720921E-4,-5.224558711E-1,1.938419342E-1,5.572570533E-1
3.685398840E-1,1.097591221E-2,-4.741643071E-1,1.435413361E-1,4.955364527E-1
3.785065500E-1,-1.001715660E-2,-4.499543905E-1,1.157121658E-1,4.647027031E-1
3.884732160E-1,1.685963944E-2,-4.151212573E-1,1.029520035E-1,4.280292288E-1
3.984732160E-1,-1.128704846E-2,-3.739152551E-1,1.147212982E-1,3.912812182E-1
4.084727160E-1,-5.939360708E-3,-3.001443148E-1,1.438131332E-1,3.328725026E-1
4.184727160E-1,6.683330983E-3,-2.737987041E-1,8.973598480E-2,2.882064265E-1
4.284727160E-1,-6.272289902E-3,-2.441252470E-1,7.450771332E-2,2.553191673E-1
4.384727160E-1,-2.863686532E-2,-2.221935987E-1,8.362483978E-2,2.391300466E-1
4.484727160E-1,-2.520634234E-2,-2.244017124E-1,1.098413467E-1,2.511107518E-1
4.584727160E-1,-1.703578234E-2,-1.946043968E-1,1.099328995E-1,2.241569350E-1
4.684732490E-1,1.674826816E-2,-1.786916852E-1,6.955909729E-2,1.924829625E-1
4.784732490E-1,1.384386793E-2,-1.461876631E-1,6.538677216E-2,1.607417665E-1
4.884732490E-1,9.302154183E-3,-1.117681861E-1,5.434417725E-2,1.246272326E-1
4.984732490E-1,9.756706655E-3,-1.175369620E-1,1.392736435E-1,1.825028179E-1
5.084732490E-1,2.407774329E-3,-1.361603737E-1,1.668376923E-1,2.153607678E-1
5.184727150E-1,-1.183317602E-2,-9.264916182E-2,1.106309891E-1,1.447864185E-1
5.284727150E-1,-1.589798927E-2,-9.084373713E-2,1.622581482E-2,9.364084421E-2
5.384727150E-1,-1.460721344E-2,-8.542692661E-2,1.531887054E-2,8.801021685E-2
5.484727150E-1,-3.020630032E-2,-4.039603472E-2,7.676887512E-2,9.185706498E-2
5.584722150E-1,8.610129356E-3,-4.978460073E-2,1.168289185E-1,1.272856511E-1
5.684722150E-1,1.856419817E-2,-6.447052956E-2,6.595420837E-2,9.407994599E-2
5.784722150E-1,-2.531595528E-3,-7.162517309E-2,7.491111755E-2,1.036737668E-1
5.884722150E-1,6.934687495E-3,-6.630969048E-2,9.101009369E-2,1.128180043E-1
5.984722150E-1,6.783083081E-3,-2.974230051E-2,4.245948792E-2,5.228214580E-2
6.084727150E-1,2.013638616E-3,-2.075529099E-2,5.627155304E-2,6.001103670E-2
6.184727150E-1,2.293137088E-2,-5.111587048E-2,9.411144257E-2,1.095246256E-1
6.284727150E-1,-6.642490625E-3,-2.724480629E-2,7.456111908E-2,7.966029519E-2
6.384727150E-1,-4.301965237E-5,-4.782718420E-2,1.006164551E-1,1.114051724E-1
6.484727150E-1,-1.688034832E-2,-3.974801302E-2,7.161426544E-2,8.362687196E-2
6.584722150E-1,-1.138800383E-2,-5.768120289E-3,7.138538361E-2,7.251779668E-2
6.684722150E-1,-1.502931118E-3,-2.251321077E-2,6.161403656E-2,6.561549331E-2
6.784722150E-1,-3.866679966E-3,-1.993304491E-2,5.422210693E-2,5.789917421E-2
6.884722810E-1,-6.473869085E-3,-1.497560740E-2,6.837940216E-2,7.029880822E-2
6.984722810E-1,2.635097504E-2,-2.497345209E-2,8.976268768E-2,9.682658362E-2
7.084722810E-1,2.545277029E-2,-2.814918756E-2,9.202003479E-2,9.953847035E-2
7.184728140E-1,-2.084352076E-3,-1.939809322E-2,1.182241440E-1,1.198231145E-1
7.284728140E-1,-7.493607700E-3,-4.571324587E-2,5.577468872E-2,7.250290274E-2
7.384728140E-1,-3.136018664E-2,2.128213644E-2,2.685642242E-2,4.645059809E-2
7.484728140E-1,-9.155161679E-3,7.913172245E-3,7.466602325E-2,7.564026910E-2
7.584728140E-1,3.423349932E-2,-2.488225698E-2,7.460975647E-2,8.577689053E-2
7.684722800E-1,1.229149848E-2,-9.492278099E-3,7.692050934E-2,7.847260054E-2
7.784722800E-1,-9.232878685E-3,-2.999240160E-2,1.199340820E-1,1.239716671E-1
7.884722800E-1,5.212336779E-3,3.319978714E-5,7.913017273E-2,7.930166324E-2
7.984727800E-1,-2.125263214E-2,4.378181696E-2,5.034637451E-2,7.002341962E-2
8.084727800E-1,7.695838809E-3,-4.145562649E-3,6.232166290E-2,6.293171928E-2
8.184727800E-1,-4.612244666E-3,2.211105824E-2,7.669162750E-2,7.994859240E-2
8.284727800E-1,-2.144896239E-2,-1.034438610E-2,1.029434204E-1,1.056617817E-1
8.384727800E-1,1.700406894E-2,6.806492805E-3,1.005201340E-1,1.021751635E-1
8.484727800E-1,5.419179797E-4,-7.396101952E-3,4.304599762E-2,4.368013176E-2
8.584732800E-1,-1.123192161E-2,-8.916437626E-3,5.494880676E-2,5.678935013E-2
8.684732800E-1,1.258054376E-2,-8.578360081E-3,6.928634644E-2,7.093980649E-2
8.784732800E-1,-4.612952471E-3,1.848983765E-2,8.838081360E-2,9.041195518E-2
8.884732800E-1,9.074866772E-3,1.811492443E-2,7.164669037E-2,7.445637605E-2
8.984732800E-1,-3.279894590E-3,3.217422962E-2,6.687927246E-2,7.428846374E-2
