"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,8.700101972E-1,-1.654664755E0,1.082826376E0,2.160404165E0
1.974000000E-3,9.763007164E-1,-1.633895278E0,9.838662744E-1,2.142608157E0
3.974000000E-3,1.016006947E0,-1.624732256E0,9.484360814E-1,2.138119739E0
5.979000000E-3,1.050826311E0,-1.608239055E0,9.117841721E-1,2.126503978E0
7.979000000E-3,1.124130130E0,-1.572197914E0,8.342042565E-1,2.105082319E0
9.978600000E-3,1.190714478E0,-1.522717953E0,7.535700798E-1,2.074690049E0
1.197826600E-2,1.221257687E0,-1.494618058E0,7.144747376E-1,2.058112637E0
1.397798000E-2,1.288452864E0,-1.429866314E0,6.295644641E-1,2.025087621E0
1.597773000E-2,1.348317623E0,-1.370001554E0,5.458759069E-1,1.998210494E0
1.797750700E-2,1.377028346E0,-1.349232197E0,5.104457140E-1,1.994289200E0
1.997730700E-2,1.428340912E0,-1.331516981E0,4.481374621E-1,2.003477581E0
2.197476100E-2,1.475377560E0,-1.347399592E0,4.023225605E-1,2.038158004E0
2.397409400E-2,1.501033902E0,-1.352897286E0,3.784988523E-1,2.055892805E0
2.597378600E-2,1.540740252E0,-1.362671137E0,3.235209584E-1,2.082166891E0
2.797350000E-2,1.571894288E0,-1.346177697E0,2.673213482E-1,2.086745492E0
2.997323300E-2,1.582279086E0,-1.326630116E0,2.373889536E-1,2.078438858E0
3.197298300E-2,1.614044070E0,-1.272873878E0,1.860762835E-1,2.063969611E0
3.397274700E-2,1.636035204E0,-1.183687568E0,1.414831132E-1,2.024288744E0
3.597252400E-2,1.645198107E0,-1.131153226E0,1.225462854E-1,2.000300483E0
3.797231300E-2,1.658026338E0,-1.013867140E0,9.017043561E-2,1.945535561E0
3.997211300E-2,1.667800188E0,-8.929157853E-1,7.123360783E-2,1.893127120E0
4.197054100E-2,1.673908830E0,-7.701318264E-1,5.412938073E-2,1.843367514E0
4.397026800E-2,1.676352262E0,-7.096561790E-1,4.985332489E-2,1.821058526E0
4.596983300E-2,1.678795815E0,-5.935918093E-1,4.374467209E-2,1.781185060E0
4.796958300E-2,1.676963091E0,-5.373921990E-1,4.374467209E-2,1.761507644E0
4.996934300E-2,1.667189360E0,-4.311016500E-1,4.435553774E-2,1.722595834E0
5.196911200E-2,1.656804562E0,-3.339740932E-1,5.229678378E-2,1.690939089E0
5.396840800E-2,1.645198107E0,-2.961004376E-1,6.023803353E-2,1.672716623E0
5.596812200E-2,1.622596145E0,-2.227966040E-1,7.856398821E-2,1.639703899E0
5.796784600E-2,1.587166071E0,-1.580448896E-1,1.017768681E-1,1.598259320E0
5.996757900E-2,1.567007422E0,-1.299450845E-1,1.158267707E-1,1.576646386E0
6.196731200E-2,1.500423074E0,-2.793059126E-2,1.512569636E-1,1.508286507E0
6.396704500E-2,1.475377560E0,2.093862742E-2,1.646959782E-1,1.484689238E0
6.596627800E-2,1.444834352E0,7.835996151E-2,1.787458956E-1,1.457956338E0
6.796601100E-2,1.377028346E0,2.194698304E-1,2.166195363E-1,1.411133621E0
6.996581100E-2,1.298226714E0,3.563036621E-1,2.789278030E-1,1.374825669E0
7.196554400E-2,1.260963917E0,4.118923843E-1,3.113036454E-1,1.362569373E0
7.396527700E-2,1.183994889E0,4.803093076E-1,3.705575764E-1,1.330358540E0
7.596501000E-2,1.119853973E0,4.992461205E-1,4.139290154E-1,1.294085330E0
7.796474300E-2,1.083812952E0,4.968026280E-1,4.365310371E-1,1.269654564E0
7.996447600E-2,1.025780797E0,4.729789197E-1,4.579113126E-1,1.218859332E0
8.196420900E-2,9.598073959E-1,4.515986443E-1,4.676851630E-1,1.159267434E0
8.396414200E-2,9.262098074E-1,4.436573684E-1,4.689068794E-1,1.128968613E0
8.596394200E-2,8.596253991E-1,4.326618016E-1,4.640199542E-1,1.068394393E0
