"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.479834469E0,3.149732947E-2,-5.845290050E-2,8.369922638E-2
1.499832068E0,7.284212112E-2,2.331298962E-2,8.411407471E-2
1.519829734E0,-5.649265647E-2,1.558940560E-1,1.421041489E-1
1.539827267E0,4.999189079E-2,1.181824505E-2,7.574748993E-2
1.559824733E0,-1.309670508E-1,-3.163391650E-1,6.666374207E-2
1.579822199E0,-4.758816957E-1,-4.309923649E-1,2.086925507E-1
1.599819598E0,-1.312593460E0,-2.566640675E-1,4.732627869E-1
1.619817364E0,-3.568420112E-1,3.753128052E-1,1.526760101E0
1.639814763E0,1.688032746E0,1.094773531E0,1.958121300E0
1.659812295E0,3.911654353E-1,-5.530989170E-2,1.206552505E0
1.679808794E0,-1.024315000E0,-1.665710330E0,-9.056282043E-1
1.699806326E0,-1.733631372E0,-2.391566277E0,-1.108650208E0
1.719803792E0,-1.503559351E-1,-6.276376247E-1,1.789646149E-1
1.739801258E0,2.183454633E-1,8.011193871E-1,1.090240479E0
1.759798357E0,-7.060829401E-1,9.023830891E-1,2.574248314E0
1.779795889E0,-7.997633219E-1,5.866709948E-1,3.907191277E0
1.799793421E0,-2.935683727E-1,2.714369893E-1,3.889277458E0
1.819790887E0,9.235926270E-1,7.125986218E-1,1.725264549E0
1.839788419E0,1.179129839E0,1.345641613E0,1.576772690E0
1.859785885E0,8.414208889E-1,2.242112160E-2,2.953148842E0
1.879783351E0,2.476515770E-1,-1.119526386E0,4.263529778E0
1.899780883E0,1.375163317E0,-1.062778354E0,5.027441978E0
1.919778415E0,2.406892061E0,-3.294844627E-1,4.192190170E0
1.939775947E0,1.918179750E0,-4.009511471E-1,2.751862049E0
1.959773346E0,8.773608208E-1,-1.963866949E0,1.233053684E0
1.979770812E0,9.891605377E-2,-1.010421991E0,-4.517385006E0
1.999768211E0,9.286003113E-1,-5.754265785E-1,-5.349709034E0
2.019765677E0,8.253331184E-1,-1.124505043E0,-5.903129578E-1
2.039763143E0,-3.039574623E-1,-2.013861179E0,-8.000979424E-1
2.059761075E0,-1.144998550E0,-1.061517239E0,-4.990830421E-1
2.079758541E0,-5.952849388E-1,7.800688744E-1,7.793121338E-1
2.099756007E0,1.885782242E0,3.888297081E-1,6.478357315E0
2.119753539E0,1.450380802E0,-2.823980808E0,5.970983982E0
2.139751005E0,1.392911911E0,-4.972049713E0,2.440427542E0
2.159748537E0,2.479300976E0,-4.986596584E0,-1.037668943E0
2.179746069E0,9.654989243E-1,-3.946868181E0,-3.587993622E0
2.199743601E0,-2.050813675E0,-3.738854408E0,-4.268836975E0
2.219741067E0,-1.244326591E0,-2.417518854E0,-7.708244324E-1
2.239738533E0,1.088328838E0,-2.634115934E0,-6.117832661E-1
2.259736065E0,2.153560162E0,-1.835854053E0,-1.479112625E0
2.279733631E0,9.232668877E-1,-2.277616739E0,1.262869120E0
2.299731297E0,-1.123461723E0,-2.529113293E0,2.012355804E0
2.319729030E0,-2.361838341E0,-2.779110193E0,2.294665575E0
2.339726830E0,-2.046540737E0,-3.196834564E0,-1.234235764E-1
2.359724529E0,-6.075978279E-1,-2.346815825E0,-2.042656898E0
2.379722195E0,3.892173767E-1,-3.700777531E0,-4.128551483E-2
2.399719927E0,1.021725655E0,-3.021161556E0,4.575533867E-1
2.419717659E0,-2.400660515E-1,-1.296734095E0,1.940422058E-1
2.439715391E0,-2.015055895E0,-1.218423843E0,9.430480003E-1
2.459713057E0,-1.919468164E0,-2.287635803E0,1.630503178E0
2.479710789E0,-1.638464093E0,-3.397619009E0,8.254709244E-1
2.499708455E0,-6.611536145E-1,-3.109895468E0,-1.302995682E-1
2.519706187E0,8.609483242E-1,-1.661394835E0,-5.282430649E-1
2.539703919E0,2.702630043E0,-3.270833492E-1,-2.974472046E-1
2.559701651E0,2.187891960E0,4.731080532E-1,-2.199048996E-1
2.579699284E0,1.072588444E0,-1.827623844E-1,-1.177232742E0
2.599696817E0,-8.392968178E-1,-2.433983326E0,-1.621081352E0
2.619694283E0,-1.844850540E0,-4.035836220E0,-3.725233078E-1
2.639691682E0,-1.143353462E0,-3.072929382E0,-4.851555824E-1
2.659689148E0,1.051871300E0,-9.044709802E-1,2.300796509E0
2.679686647E0,3.440750599E0,6.834629774E-1,3.423743963E0
2.699684179E0,3.701896667E0,1.317035079E0,2.143425941E0
2.719681279E0,2.724064827E0,1.133156657E0,-5.464315414E-2
2.739678745E0,1.845458984E0,-1.629779339E-1,-7.900657654E-1
2.759676277E0,-3.863725662E-1,-3.316350222E0,-1.999653816E0
2.779673809E0,-4.077596664E-1,-5.136065006E0,-2.623842001E0
