"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-4.440627992E-3,1.773594320E-2,8.130455017E-2,8.333494307E-2
1.000000000E-2,1.216073148E-2,1.453995705E-2,8.119869232E-2,8.338178084E-2
2.000000000E-2,-5.358068272E-2,-1.454213262E-2,8.100414276E-2,9.820404435E-2
3.000000000E-2,-1.738873124E-2,-7.782191038E-3,9.340286255E-3,2.121724343E-2
4.000000000E-2,-9.295336902E-3,4.789844155E-3,9.517669678E-3,1.413972883E-2
5.000000000E-2,-9.187586606E-3,5.035206676E-3,9.521484375E-3,1.415710841E-2
6.000216600E-2,-3.560492769E-2,9.635239840E-3,6.458663940E-2,7.437729971E-2
7.000216600E-2,-5.244202539E-2,-7.115960121E-3,4.782772064E-2,7.133227725E-2
8.000216600E-2,-2.359437943E-2,-2.340316772E-3,5.740356445E-2,6.210749580E-2
9.000216600E-2,-4.989062995E-2,-1.190237701E-2,4.064369202E-2,6.544196846E-2
1.000033660E-1,-3.542091325E-2,-1.185449958E-2,5.740356445E-2,6.848605309E-2
1.100033660E-1,-3.303793445E-2,-1.895737648E-2,2.149200439E-2,4.373549461E-2
1.200033660E-1,-3.291865066E-2,-1.895064116E-2,2.149105072E-2,4.364206254E-2
1.300033660E-1,-1.603942737E-2,9.787410498E-3,2.388381958E-2,3.038903540E-2
1.400033660E-1,-1.370963082E-2,7.163539529E-3,5.021858215E-2,5.254689590E-2
1.500033660E-1,-2.337149531E-2,-4.857912660E-3,4.303455353E-2,4.921177609E-2
1.600033660E-1,-3.542256728E-2,6.924986839E-3,5.021476746E-2,6.184041224E-2
1.700033660E-1,-2.585010231E-2,-5.085527897E-3,9.091567993E-2,9.465596252E-2
1.800033660E-1,-2.585750073E-2,1.161567867E-2,5.978965759E-2,6.616900702E-2
1.900033660E-1,-1.389956847E-2,-2.952367067E-4,4.781913757E-2,4.979914745E-2
2.000033660E-1,-2.589026093E-2,-1.465867460E-2,4.781913757E-2,5.631919984E-2
2.100033660E-1,-1.375545934E-2,9.344458580E-3,1.669311523E-2,2.356250547E-2
2.200033660E-1,-2.806092054E-2,-2.195686102E-4,-4.855155945E-3,2.847869398E-2
2.300033660E-1,-3.523356467E-2,-6.489177048E-2,7.892990112E-2,1.080845745E-1
2.400034490E-1,-4.494459182E-2,-5.431954563E-2,4.302024841E-2,8.259159246E-2
2.500034490E-1,-4.497805610E-2,-1.223838329E-2,6.458187103E-2,7.964685570E-2
2.600034490E-1,-4.230135679E-2,-1.103293896E-2,6.458950043E-2,7.799316697E-2
2.700034490E-1,-8.394598961E-3,1.836761832E-3,1.431369781E-2,1.669505708E-2
2.800034490E-1,-1.102059335E-2,1.924721897E-2,5.262279510E-2,5.710575698E-2
2.900034490E-1,-9.111937135E-3,1.939252019E-2,5.261611938E-2,5.681155918E-2
3.000034490E-1,-6.521493196E-4,3.132206202E-2,3.106117249E-2,4.411681430E-2
3.100034490E-1,-1.833200455E-3,1.650774479E-2,3.104591370E-2,3.520958703E-2
3.200034490E-1,6.359234452E-3,6.425157189E-3,5.018615723E-2,5.099385144E-2
3.300034490E-1,-7.381327450E-4,-1.728962362E-2,5.258464813E-2,5.535902044E-2
3.400034490E-1,6.925843656E-3,-2.937287092E-2,5.018615723E-2,5.856093607E-2
3.500038490E-1,-3.128878027E-2,-4.121626914E-2,1.906204224E-2,5.514644201E-2
3.600034150E-1,-3.286103159E-2,-2.361911535E-2,1.907539368E-2,4.473902828E-2
3.700034150E-1,-7.910039276E-3,-3.549650311E-3,3.345489502E-2,3.456007436E-2
3.800034150E-1,-7.038455456E-3,1.991569996E-3,3.825473785E-2,3.894780064E-2
3.900033150E-1,-6.397798657E-3,9.617194533E-3,5.023288727E-2,5.154381846E-2
4.000029150E-1,-5.837023258E-3,9.871438146E-3,5.023574829E-2,5.152811405E-2
4.100029150E-1,7.172059268E-3,5.738094449E-3,4.545497894E-2,4.637369160E-2
4.200029150E-1,-1.619706675E-2,1.320779324E-3,5.025005341E-2,5.281247293E-2
4.300029150E-1,-3.242088854E-2,-1.779396832E-2,2.363204956E-3,3.705838718E-2
4.400029150E-1,-1.007404923E-2,-1.734891534E-2,1.434040070E-2,2.466005725E-2
4.500029150E-1,-2.836706489E-2,-4.578022659E-2,2.152633667E-2,5.799916109E-2
4.600029150E-1,6.313554943E-3,-1.838706434E-2,2.393722534E-2,3.083724806E-2
4.700029150E-1,2.314202487E-3,2.818176150E-2,4.311084747E-2,5.155688494E-2
4.800029150E-1,1.270623133E-2,6.212480366E-2,1.005802155E-1,1.189004596E-1
4.900033810E-1,2.972170338E-2,7.816597819E-2,5.028438568E-2,9.757980960E-2
5.000033810E-1,3.412062675E-2,4.785983264E-2,3.588771820E-2,6.886732947E-2
5.100033810E-1,4.694744945E-3,-1.880058646E-2,1.908969879E-2,2.720145734E-2
5.200033810E-1,-6.587766111E-4,-6.549227238E-2,-8.678436279E-5,6.549564306E-2
5.300033810E-1,-2.259773016E-2,-4.150691628E-2,1.667499542E-2,5.011523701E-2
5.400033140E-1,-1.780911908E-2,-1.224277914E-2,5.259990692E-2,5.686651538E-2
5.500033140E-1,8.871585131E-3,2.667908370E-2,3.824520111E-2,4.746760936E-2
5.600033140E-1,1.116159186E-2,3.620825708E-2,4.542732239E-2,5.915454871E-2
5.700037800E-1,1.096456870E-2,-9.636193514E-3,6.457614899E-2,6.620541526E-2
5.800037800E-1,6.195127964E-3,-4.849880934E-3,4.542160034E-2,4.609796886E-2
5.900037800E-1,-2.012007125E-2,-3.595805168E-2,1.668930054E-2,4.445595011E-2
6.000042130E-1,-2.477756515E-2,-4.505640268E-2,2.388286591E-2,5.669566510E-2
6.100042130E-1,-5.161024630E-3,6.198480725E-3,9.534835815E-3,1.248881230E-2
