"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-2.244687080E-2,1.091203690E-1,9.970903397E-1,1.003294704E0
1.000000000E-2,-2.245013416E-2,1.091269255E-1,9.970903397E-1,1.003295490E0
1.950000000E-2,-6.033034623E-2,1.406644583E-1,3.216171265E-2,1.563989011E-1
2.916666600E-2,-6.637057662E-2,1.283637285E-1,4.647636414E-2,1.517970773E-1
3.891666600E-2,-7.363179326E-2,1.244573593E-1,-3.025531769E-2,1.477384835E-1
4.871666600E-2,-7.914680243E-2,1.242996454E-1,-9.001827240E-2,1.726786251E-1
5.855249900E-2,-1.008597612E-1,9.553742409E-2,-3.240871429E-2,1.426548828E-1
6.840964100E-2,-7.821851969E-2,8.999383450E-2,6.078624725E-2,1.338357012E-1
7.828464100E-2,-7.607048750E-2,7.507944107E-2,7.459354401E-2,1.303374020E-1
8.817352900E-2,-3.184673190E-2,6.796646118E-2,-2.689075470E-2,7.972933504E-2
9.807502900E-2,-1.178517938E-2,5.408120155E-2,-1.094818115E-2,5.642277452E-2
1.079841190E-1,-4.347541928E-2,7.193195820E-2,1.002874374E-1,1.308506355E-1
1.179007850E-1,-3.464457393E-2,5.550479889E-2,1.327629089E-1,1.480101996E-1
1.278238610E-1,-7.088214159E-3,7.452416420E-2,1.933488846E-1,2.073351996E-1
1.377524320E-1,2.678272128E-2,8.158481121E-2,1.392068863E-1,1.635602420E-1
1.476857650E-1,1.316878200E-2,4.804265499E-2,2.057266235E-2,5.389571369E-2
1.576232650E-1,5.478048325E-2,3.008937836E-2,-6.969833374E-2,9.361693095E-2
1.675649120E-1,3.124722838E-2,2.961182594E-2,-1.873016357E-2,4.694750840E-2
1.775093560E-1,3.540188074E-2,9.893894196E-3,2.249145508E-2,4.309347809E-2
1.874567240E-1,5.698522925E-2,-4.527568817E-4,1.158237457E-1,1.290839317E-1
1.974067240E-1,2.829027176E-2,1.137435436E-2,2.253885269E-1,2.274416485E-1
2.073591040E-1,1.371234655E-3,4.751658440E-2,2.943325043E-1,2.981464894E-1
2.173136490E-1,3.839571774E-2,5.336248875E-2,3.423538208E-1,3.486085555E-1
2.272701700E-1,-3.693279624E-2,3.502440453E-2,1.914854050E-1,1.981348043E-1
2.371868360E-1,-1.344764829E-1,-1.433455944E-2,1.271791458E-1,1.856446583E-1
2.471068360E-1,2.237227559E-2,-1.306816339E-1,1.848020554E-1,2.274423176E-1
2.570300280E-1,-1.323037446E-1,4.850559235E-1,-2.972574234E-1,5.840766264E-1
2.669559530E-1,-1.492497623E-1,-1.001548767E-1,-2.742395401E-1,3.278929951E-1
2.768850950E-1,4.554569721E-3,2.825140953E-3,1.107721329E-1,1.109017175E-1
2.868161290E-1,-2.284553647E-2,-8.614850044E-2,2.756729126E-1,2.897223454E-1
2.967494620E-1,-2.045482397E-2,-6.758975983E-2,2.733078003E-1,2.822834199E-1
3.066827950E-1,-2.520952523E-1,-5.276262760E-2,9.171676636E-2,2.734005785E-1
3.166494610E-1,-6.915628910E-4,2.425968647E-2,1.661605835E-1,1.679236438E-1
3.266161270E-1,1.493759751E-1,9.586334229E-3,-3.255653381E-2,1.531829222E-1
3.365827930E-1,4.733181000E-2,-1.898789406E-2,-2.127656937E-1,2.187923234E-1
3.465494590E-1,-7.484650612E-2,1.339352131E-2,-4.067440033E-1,4.137898864E-1
3.565156250E-1,-8.814024925E-2,-1.774907112E-3,-2.660112381E-1,2.802388849E-1
3.664822910E-1,1.407891512E-2,-3.809845448E-2,7.531070709E-2,8.556524228E-2
3.764489570E-1,-2.238655090E-2,-5.699539185E-2,2.226591110E-1,2.309257718E-1
3.864156230E-1,-9.455609322E-2,-5.093491077E-2,6.088972092E-1,6.182968795E-1
3.963817890E-1,-3.825262189E-2,-5.015087128E-2,6.762304306E-1,6.791656412E-1
4.063484550E-1,-1.991355419E-1,2.407824993E-2,3.072748184E-1,3.669503239E-1
4.163156210E-1,-2.016023397E-1,7.637858391E-2,-1.154956818E-1,2.445740051E-1
4.262822870E-1,6.748613715E-2,8.183014393E-2,-4.091472626E-1,4.226724898E-1
4.362489530E-1,4.331487417E-2,2.062523365E-2,5.040550232E-2,6.958658816E-2
4.462156190E-1,7.649591565E-2,-1.040101051E-2,3.592004776E-1,3.674027616E-1
4.561494520E-1,8.432114124E-2,-3.782641888E-2,2.398462296E-1,2.570352245E-1
4.660825180E-1,1.888982654E-1,-9.888720512E-2,-1.401977539E-1,2.551796312E-1
4.760158510E-1,2.777220607E-1,-4.100966454E-2,-4.242420197E-2,2.839210251E-1
4.859491840E-1,6.150035858E-1,1.271811724E-1,2.999715805E-1,6.959794611E-1
4.958829840E-1,-4.324018955E-4,-9.154558182E-3,4.925355911E-1,4.926208496E-1
5.058163170E-1,7.705643773E-2,2.515828609E-2,4.145765305E-1,4.224267198E-1
5.157496500E-1,-3.531603515E-2,-3.878235817E-3,3.753385544E-1,3.770163040E-1
5.256829830E-1,-1.581454873E-1,-3.686463833E-2,2.451953888E-1,2.940914405E-1
5.356496490E-1,-1.877208054E-1,-7.128632069E-2,2.184123993E-1,2.966897647E-1
5.456163150E-1,-1.975103915E-1,-2.133727074E-3,1.909132004E-1,2.747048555E-1
5.555828810E-1,-2.222859859E-1,-3.310453892E-2,1.220798492E-1,2.557546864E-1
5.655495470E-1,-2.327477634E-1,-2.951717377E-2,5.528640747E-2,2.410381127E-1
5.755156800E-1,-2.474242747E-1,-3.099882603E-2,3.334045410E-3,2.493808629E-1
5.854823460E-1,-3.069809973E-1,-6.894600391E-2,-3.870677948E-2,3.170001561E-1
5.954490120E-1,-2.655809224E-1,-3.233194351E-2,-9.267234802E-2,2.831373253E-1
6.054156780E-1,-7.510238886E-2,5.509543419E-2,-2.632837296E-1,2.792744133E-1
6.153823440E-1,5.191901326E-2,2.224159241E-2,-2.393150330E-1,2.458901327E-1
6.253490100E-1,1.104734838E-1,-2.076169848E-1,-2.570724487E-2,2.365799346E-1
6.353157430E-1,3.103867173E-2,-3.030397892E-1,-3.753948212E-2,3.069295126E-1
6.452824090E-1,-7.865577936E-2,-1.961824894E-1,3.828048706E-2,2.148015281E-1
6.552490750E-1,-3.773516417E-2,-5.470371246E-2,8.577442169E-2,1.085066366E-1
6.652157410E-1,1.037394404E-1,2.188631296E-1,-3.955173492E-2,2.454124706E-1
6.751824070E-1,1.523970664E-1,2.509108782E-1,8.886337280E-3,2.937007007E-1
6.851490730E-1,1.160232425E-1,1.777231693E-2,3.975162506E-1,4.144833139E-1
6.951157390E-1,1.295831800E-2,-2.809250355E-2,4.653673172E-1,4.663945183E-1
7.050824050E-1,-6.382277608E-2,-4.710233212E-2,3.488254547E-1,3.577305890E-1
7.150485710E-1,-5.207270384E-2,-1.680517197E-2,3.548240662E-1,3.590182422E-1
7.250152370E-1,-1.328262091E-1,-1.157752872E-1,3.636932373E-1,4.041280611E-1
7.349819030E-1,-1.435051560E-1,-2.570596337E-1,3.500080109E-1,4.573608999E-1
7.449490360E-1,-8.113342524E-2,-4.251239896E-1,3.222999573E-1,5.396205164E-1
7.549490020E-1,4.197502136E-2,-3.496700525E-1,2.727069855E-1,4.454213151E-1
7.649490020E-1,4.406826496E-1,-2.901515365E-1,8.496379852E-2,5.344230149E-1
