"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.304107428E0,-6.748389244E0,1.633901596E0,7.064777986E0
1.000000000E-2,-1.336521626E0,-6.752864838E0,1.641930580E0,7.076963304E0
2.000000000E-2,-1.060557604E0,-6.272503853E0,5.847812176E0,8.640948690E0
3.000000000E-2,-3.150573075E-1,-6.051609993E0,5.672200203E0,8.300307209E0
4.000000000E-2,-9.947627783E-2,-5.990480423E0,5.089656830E0,7.861320365E0
5.000000000E-2,-1.677511930E-1,-6.111776829E0,4.135119915E0,7.381136307E0
6.000000000E-2,-1.810887456E-1,-6.104295254E0,4.124834061E0,7.369495892E0
7.000000000E-2,-9.000399113E-1,-6.895939350E0,3.254237652E0,7.678158246E0
8.000000000E-2,-9.808331132E-1,-6.896872997E0,3.122941017E0,7.634242027E0
9.000000000E-2,-1.177467227E0,-6.589373589E0,3.257739067E0,7.444403078E0
9.999960000E-2,-1.084825754E0,-6.508707523E0,3.310601711E0,7.382425362E0
1.099996000E-1,-9.625610113E-1,-6.571205616E0,3.368291378E0,7.446653863E0
1.199996000E-1,-8.389657736E-1,-6.611941338E0,3.401299477E0,7.482677993E0
1.300007530E-1,-8.602544665E-1,-6.595044136E0,3.377725601E0,7.459468824E0
1.400007530E-1,-7.396398783E-1,-6.709361076E0,3.741144657E0,7.717431992E0
1.500007530E-1,-6.171156168E-1,-6.798727036E0,4.197639942E0,8.013969183E0
1.600007530E-1,-5.667408109E-1,-6.813778400E0,4.421621323E0,8.142450881E0
1.700007530E-1,-3.915894032E-1,-6.750442982E0,4.728609085E0,8.251155470E0
1.800007530E-1,-3.135412633E-1,-6.675983906E0,4.762770176E0,8.206768486E0
1.900007530E-1,-2.922710180E-1,-6.631135941E0,4.615640640E0,8.084647471E0
2.000007530E-1,-3.628880978E-1,-6.657903671E0,4.420330048E0,7.999917924E0
2.100007530E-1,-3.996593952E-1,-6.660535336E0,4.102550983E0,7.832840044E0
2.200007530E-1,-3.904412985E-1,-6.618176460E0,3.901885509E0,7.692685786E0
2.300007530E-1,-3.125522733E-1,-6.514250755E0,3.674148560E0,7.485487256E0
2.400013780E-1,-3.031003773E-1,-6.425446987E0,3.567059994E0,7.355416767E0
2.500013780E-1,-3.715472817E-1,-6.359158516E0,3.450756550E0,7.244630093E0
2.600013780E-1,-4.660376906E-1,-6.370001793E0,3.421787262E0,7.245877589E0
2.700013780E-1,-7.144560814E-1,-6.425141335E0,3.421328545E0,7.314258518E0
2.800013780E-1,-8.560806513E-1,-6.457429886E0,3.456492901E0,7.374185920E0
2.900013780E-1,-8.561552763E-1,-6.464572430E0,3.592258930E0,7.444999851E0
3.000013780E-1,-7.494465113E-1,-6.422811985E0,3.627949238E0,7.414593687E0
3.100013780E-1,-5.458208919E-1,-6.397488117E0,3.830376148E0,7.476466819E0
3.200013780E-1,-4.386104047E-1,-6.394186974E0,3.901317596E0,7.503218318E0
3.300013780E-1,-3.250258267E-1,-6.416281223E0,4.011852264E0,7.574250136E0
3.400013780E-1,-2.969401181E-1,-6.450729847E0,3.972015381E0,7.581358399E0
3.500013780E-1,-3.070226014E-1,-6.575451851E0,3.860130310E0,7.630952492E0
3.600013780E-1,-3.110670745E-1,-6.638760090E0,3.793134689E0,7.652304818E0
3.700013780E-1,-3.067646921E-1,-6.662301064E0,3.754334927E0,7.653456133E0
3.800019110E-1,-2.654053271E-1,-6.639576912E0,3.746303558E0,7.628185361E0
3.900019110E-1,-1.263345778E-1,-6.557717323E0,3.824940205E0,7.592745517E0
4.000020440E-1,-1.774966717E-2,-6.509569645E0,3.858061790E0,7.566997607E0
4.100020440E-1,1.025702953E-1,-6.510568142E0,3.923731327E0,7.602215843E0
4.200020440E-1,8.019077778E-2,-6.517209530E0,3.880593777E0,7.585476826E0
4.300015440E-1,-3.014016151E-2,-6.511893272E0,3.754288673E0,7.516671196E0
4.400020100E-1,-2.320134044E-1,-6.523858070E0,3.655370712E0,7.481730374E0
4.500020100E-1,-6.776042581E-1,-6.621730328E0,3.556392670E0,7.546813161E0
4.600020100E-1,-8.694056273E-1,-6.643669605E0,3.520335197E0,7.568815751E0
4.700020100E-1,-1.225574017E0,-6.700306892E0,3.492383003E0,7.654598824E0
4.800020100E-1,-1.248251438E0,-6.711022377E0,3.514001369E0,7.677509923E0
4.900025100E-1,-1.148782015E0,-6.636921406E0,3.625491142E0,7.649353691E0
5.000025100E-1,-1.037677526E0,-6.572193623E0,3.631805420E0,7.580271385E0
5.100025100E-1,-9.130620956E-1,-6.543723106E0,3.486419201E0,7.470549734E0
5.200025100E-1,-8.834571838E-1,-6.520706177E0,3.395412922E0,7.404656275E0
5.300025100E-1,-8.839037418E-1,-6.504327297E0,3.199466228E0,7.302338226E0
5.400020100E-1,-8.821139336E-1,-6.476911068E0,3.014416695E0,7.198278265E0
5.500021760E-1,-8.735514879E-1,-6.427698135E0,2.879352570E0,7.097116791E0
5.600021760E-1,-1.036466479E0,-6.464825153E0,2.916302681E0,7.167499449E0
5.700021760E-1,-1.278881311E0,-6.611075401E0,2.982547283E0,7.364607503E0
5.800021760E-1,-1.324067950E0,-6.605373383E0,3.008900642E0,7.378183824E0
5.900021760E-1,-1.261354685E0,-6.663871288E0,3.168541431E0,7.485843372E0
6.000021760E-1,-1.179403067E0,-6.688770771E0,3.311061859E0,7.556042394E0
6.100021760E-1,-1.186193109E0,-6.665418625E0,3.285637379E0,7.525308799E0
6.200021760E-1,-7.437928319E-1,-6.703428268E0,3.820032120E0,7.751246592E0
6.300026760E-1,-5.527361035E-1,-6.690426350E0,3.703383446E0,7.666966211E0
6.400026760E-1,-5.699424148E-1,-6.669944763E0,3.682852745E0,7.640445134E0
6.500026760E-1,-5.186628699E-1,-6.556728363E0,3.196347237E0,7.312751442E0
6.600027090E-1,-6.066585183E-1,-6.496306419E0,3.220127106E0,7.275936382E0
6.700027090E-1,-5.776342750E-1,-6.472368717E0,3.350135326E0,7.310856644E0
6.800021750E-1,-6.618674994E-1,-6.540862083E0,3.297867298E0,7.355057722E0
6.900021750E-1,-8.647888303E-1,-6.749049187E0,3.069492817E0,7.464536878E0
7.000021750E-1,-9.501634836E-1,-6.806133270E0,2.974550247E0,7.488271490E0
7.100021750E-1,-1.163924098E0,-6.979245186E0,2.992658138E0,7.682485627E0
7.200021750E-1,-1.282142639E0,-7.069961071E0,2.975358009E0,7.776952782E0
7.300021750E-1,-1.431760550E0,-7.180249691E0,3.067681313E0,7.938299096E0
7.400022080E-1,-1.424110413E0,-7.163663864E0,3.049345016E0,7.914838941E0
7.500022080E-1,-1.251539230E0,-7.130755901E0,3.215860367E0,7.921855090E0
7.600022080E-1,-1.102895498E0,-7.029120922E0,3.211123466E0,7.806166366E0
7.700022080E-1,-9.448329210E-1,-6.982486248E0,3.182864666E0,7.731652536E0
7.800022080E-1,-8.781329393E-1,-6.970613480E0,3.151265144E0,7.700067646E0
7.900017080E-1,-9.759213328E-1,-6.866677761E0,3.094393730E0,7.594666450E0
8.000017080E-1,-1.122493029E0,-6.871463299E0,3.064181328E0,7.606984007E0
8.100017080E-1,-1.421942592E0,-6.903779030E0,2.950589657E0,7.641339212E0
8.200017080E-1,-1.606484532E0,-6.953751087E0,2.923389912E0,7.712435109E0
8.300017080E-1,-1.980001926E0,-6.912128925E0,2.931099415E0,7.764617034E0
8.400017080E-1,-2.049955368E0,-6.829596043E0,2.998403072E0,7.735381057E0
8.500015410E-1,-2.039831638E0,-6.782824039E0,3.276482582E0,7.804034416E0
8.600015410E-1,-1.984190702E0,-6.776013851E0,3.525623798E0,7.891856538E0
8.700015410E-1,-1.782525063E0,-6.851793289E0,3.700065613E0,7.988426154E0
8.800020410E-1,-1.649232864E0,-6.866244316E0,3.737449646E0,7.989606367E0
8.900020410E-1,-1.315568209E0,-6.842061520E0,3.791650295E0,7.932284508E0
9.000020410E-1,-1.159715414E0,-6.803683758E0,3.805503368E0,7.881428069E0
9.100020410E-1,-9.892942905E-1,-6.688744545E0,3.723574162E0,7.719003259E0
9.200020410E-1,-9.173334837E-1,-6.637997627E0,3.559618473E0,7.587845339E0
9.300015410E-1,-8.720359206E-1,-6.538437366E0,3.198315620E0,7.330813915E0
9.400015410E-1,-8.530946970E-1,-6.597537518E0,3.019773960E0,7.305772145E0
9.500015410E-1,-8.296101689E-1,-6.674566269E0,2.732602596E0,7.259835044E0
9.600015070E-1,-8.047003746E-1,-6.700074196E0,2.695855141E0,7.266785525E0
9.700015070E-1,-8.211239576E-1,-6.674344540E0,2.722856045E0,7.255002731E0
9.800015070E-1,-9.023377895E-1,-6.630339622E0,2.757845879E0,7.237494794E0
9.900015730E-1,-1.082934141E0,-6.688430309E0,2.789394855E0,7.327248461E0
1.000001573E0,-1.131450534E0,-6.663803101E0,2.776188850E0,7.307097687E0
1.010001573E0,-1.087982655E0,-6.456761360E0,2.822192192E0,7.130094129E0
1.020001573E0,-1.167603850E0,-6.335008621E0,2.800128937E0,7.023984271E0
1.030001573E0,-1.371238112E0,-6.229696751E0,2.614883900E0,6.893985304E0
1.040001073E0,-1.390098095E0,-6.268669128E0,2.547377586E0,6.907801236E0
1.050001073E0,-1.501581669E0,-6.390893936E0,2.768826008E0,7.124933001E0
1.059968273E0,-1.500440001E0,-6.390048504E0,2.960368633E0,7.200543210E0
1.069934939E0,-1.451427698E0,-6.441561699E0,3.261521816E0,7.364637401E0
1.079901605E0,-1.463744640E0,-6.521355152E0,3.255636692E0,7.434365586E0
1.089868271E0,-1.440165281E0,-6.536381721E0,3.163500309E0,7.403113956E0
1.099835804E0,-1.293237209E0,-6.410274506E0,3.042875290E0,7.212709044E0
1.109802470E0,-1.059657335E0,-6.465625763E0,2.900312424E0,7.165124028E0
1.119769136E0,-1.036385536E0,-6.487827301E0,2.877906322E0,7.172750021E0
1.129735802E0,-1.280419946E0,-6.410463333E0,2.961966991E0,7.176821291E0
1.139702468E0,-1.475908756E0,-6.247024536E0,3.063169956E0,7.112428024E0
1.149669134E0,-1.801383734E0,-6.130462646E0,3.355591774E0,7.217170621E0
1.159635800E0,-1.930216908E0,-6.128018379E0,3.530763626E0,7.331073479E0
1.169602466E0,-1.860419512E0,-6.123313904E0,3.833890438E0,7.460217813E0
1.179569166E0,-1.874541759E0,-6.128683090E0,3.903490067E0,7.504125394E0
1.189535832E0,-1.890945315E0,-6.351477623E0,3.809875488E0,7.644088789E0
1.199502498E0,-1.909960866E0,-6.479126930E0,3.704248905E0,7.703797521E0
1.209469431E0,-1.713238716E0,-6.511236668E0,3.557148933E0,7.614768439E0
1.219436097E0,-1.531805038E0,-6.345006943E0,3.584390163E0,7.446703474E0
1.229402763E0,-1.274523616E0,-5.983724117E0,3.507156372E0,7.051915384E0
1.239369429E0,-1.207878113E0,-5.896346569E0,3.370915413E0,6.898473970E0
1.249336095E0,-1.190616846E0,-5.977538586E0,2.857578754E0,6.731589140E0
