"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.912315190E-2,-1.655004174E-2,1.031017303E-2,2.731114219E-2
1.000000000E-2,-1.755513251E-2,-1.587075740E-2,1.031208038E-2,2.581477522E-2
2.000000000E-2,-8.382514864E-2,-5.437641591E-2,8.709239960E-2,1.325463550E-1
3.000000000E-2,-8.657657355E-2,-7.315158844E-3,1.037015915E-1,1.352887087E-1
4.000000000E-2,-6.264624000E-2,1.784853637E-3,3.416156769E-2,7.137751603E-2
5.000160000E-2,-8.174167573E-2,-5.696788430E-4,6.528854370E-2,1.046165380E-1
6.000160000E-2,-4.563786834E-2,-1.009689271E-2,5.092144012E-2,6.912130883E-2
7.000160000E-2,-5.509857461E-2,-5.459710956E-4,5.810451508E-2,8.007674869E-2
8.000160000E-2,-5.747868493E-2,-7.798075676E-3,6.049919128E-2,8.381384940E-2
9.000160000E-2,-8.130190521E-2,-1.505081356E-2,5.810546875E-2,1.010582618E-1
1.000016000E-1,-6.926231831E-2,-3.170900047E-3,5.810737610E-2,9.046430513E-2
1.100016000E-1,-6.679840386E-2,1.610306650E-2,5.092239380E-2,8.552441581E-2
1.200016000E-1,-5.948147923E-2,-1.505599916E-2,6.528854370E-2,8.959533147E-2
1.300016000E-1,-8.330383152E-2,-5.443185568E-3,6.768226624E-2,1.074711393E-1
1.400016000E-1,-6.891601533E-2,6.582692266E-3,7.247066498E-2,1.002234817E-1
1.500016000E-1,-5.208368227E-2,8.947379887E-3,5.810546875E-2,7.854305230E-2
1.600007870E-1,-4.490442201E-2,-1.255735010E-2,6.049823761E-2,7.638148278E-2
1.700007870E-1,-5.446725711E-2,-1.730961353E-2,6.768131256E-2,8.858366039E-2
1.800007870E-1,-6.871338934E-2,8.957490325E-3,6.289386749E-2,9.358100809E-2
1.900015760E-1,-6.870253384E-2,-6.451383233E-4,5.571079254E-2,8.845420717E-2
2.000015760E-1,-6.385973841E-2,4.121221602E-3,5.810546875E-2,8.643665979E-2
2.100015760E-1,-5.414094776E-2,-6.827488542E-4,7.247066498E-2,9.046383616E-2
2.200015760E-1,-5.886083096E-2,4.014335573E-3,5.092334747E-2,7.793522714E-2
2.300015760E-1,-6.706378609E-2,-3.113582730E-3,7.486820221E-2,1.005608945E-1
2.400015760E-1,-6.379058957E-2,-3.026701510E-3,5.093097687E-2,8.168454349E-2
2.500015760E-1,-3.936145455E-2,-7.653199136E-3,5.333232880E-2,6.672505418E-2
