"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.088141352E-1,-3.032096028E-1,3.237915039E-2,3.237668739E-1
1.000000000E-2,-1.804333925E-1,-3.350491822E-1,3.389835358E-2,3.820513866E-1
2.000000000E-2,-1.827853918E-1,-3.376616240E-1,6.690216064E-2,3.897457772E-1
3.000466600E-2,-1.603463292E-1,-3.151360154E-1,5.449390411E-2,3.577586324E-1
4.000466600E-2,-1.742276549E-1,-3.189144135E-1,6.643390656E-2,3.694254225E-1
5.000466600E-2,-1.716162264E-1,-3.092129827E-1,4.966735840E-2,3.571157296E-1
6.000466600E-2,-1.668528616E-1,-3.018301427E-1,7.121181488E-2,3.521539934E-1
7.000466600E-2,-1.692002863E-1,-3.039473593E-1,4.965591431E-2,3.513949970E-1
8.000466600E-2,-1.738137305E-1,-3.013276458E-1,6.161880493E-2,3.532795496E-1
9.000466600E-2,-1.593955904E-1,-3.082146049E-1,7.118701935E-2,3.542185605E-1
1.000046660E-1,-1.664631963E-1,-3.104225993E-1,7.357597351E-2,3.598410896E-1
1.100046660E-1,-1.783073395E-1,-3.029739559E-1,6.638526917E-2,3.577621126E-1
1.200046660E-1,-1.590365767E-1,-2.908169031E-1,5.201435089E-2,3.355183998E-1
1.300046660E-1,-1.853121817E-1,-3.169462979E-1,6.158447266E-2,3.722743715E-1
1.400063800E-1,-1.660775393E-1,-3.047746718E-1,5.200195312E-2,3.509608992E-1
1.500063800E-1,-1.683339179E-1,-3.020344377E-1,5.677986145E-2,3.504069949E-1
1.600063800E-1,-1.586909294E-1,-2.993707061E-1,6.395435333E-2,3.448126884E-1
1.700063800E-1,-1.585639715E-1,-3.134705424E-1,4.479217529E-2,3.541364892E-1
1.800063800E-1,-1.656736434E-1,-3.036057353E-1,3.999614716E-2,3.481722137E-1
1.900063800E-1,-1.655911803E-1,-3.057375252E-1,6.153678894E-2,3.531043043E-1
2.000063800E-1,-1.774391830E-1,-3.125049472E-1,6.391811371E-2,3.650062067E-1
2.100063800E-1,-1.844869405E-1,-3.098269105E-1,4.475593567E-2,3.633610318E-1
2.200063800E-1,-1.487039626E-1,-2.630782723E-1,6.781482697E-2,3.097126033E-1
2.300063800E-1,-1.337506175E-1,-2.481900156E-1,6.473064423E-2,2.892707517E-1
2.400063800E-1,-1.227343082E-1,-2.190279216E-1,5.940055847E-2,2.580026496E-1
2.500069800E-1,-1.153876334E-1,-1.923116148E-1,4.222011566E-2,2.282117466E-1
2.600069800E-1,-1.163562685E-1,-1.727393866E-1,5.626392365E-2,2.157389765E-1
2.700069800E-1,-8.703018725E-2,-1.551365107E-1,6.320095062E-2,1.887748675E-1
