"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,3.323247433E0,5.028471947E0,-3.334380627E0,6.888221670E0
1.000000000E-2,3.322421312E0,5.039202690E0,-3.334340572E0,6.895641680E0
2.000000000E-2,4.354956150E0,5.507398605E0,-2.357062340E0,7.406269327E0
3.000433300E-2,3.952796221E0,5.801551819E0,-1.385293961E0,7.155532183E0
4.000433300E-2,3.014952660E0,5.875075817E0,-1.041357040E0,6.685123775E0
5.000433300E-2,1.581145644E0,5.154828548E0,-2.374715805E-1,5.397098449E0
6.000433300E-2,1.295730829E0,4.493050575E0,5.380249023E-2,4.676464109E0
7.000433300E-2,2.074460983E0,2.366061687E0,4.924068451E-1,3.184980499E0
8.000433300E-2,2.457952261E0,1.952183127E0,-3.576068878E-1,3.159182009E0
9.000433300E-2,1.011335850E0,2.385971308E0,-1.761931419E0,3.133697753E0
1.000043330E-1,6.806502342E-1,3.152809381E0,-1.169606209E0,3.430957654E0
1.100043330E-1,6.949851513E-1,3.094331026E0,-1.171796799E0,3.380975687E0
1.200043330E-1,3.193529844E0,4.346969604E0,-1.430909157E0,5.580526734E0
1.300043330E-1,5.100182533E0,4.854897499E0,-2.105874538E0,7.349598572E0
1.400043330E-1,5.739019394E0,4.872131348E0,-2.259501934E0,7.859984508E0
1.500043330E-1,6.196389675E0,4.371646404E0,-2.320013046E0,7.930258371E0
1.600043330E-1,6.243492603E0,4.093290329E0,-2.099087238E0,7.755152664E0
1.700051560E-1,5.666934013E0,3.865166903E0,-1.710577488E0,7.069634477E0
1.800051560E-1,4.932554722E0,3.701901674E0,-1.425012112E0,6.329678634E0
1.900051560E-1,3.559093475E0,2.884504318E0,-6.228961945E-1,4.623365787E0
2.000051560E-1,2.919390440E0,2.938473701E0,-2.655286789E-1,4.150659431E0
2.100051560E-1,1.602704048E0,3.341911077E0,4.317283630E-3,3.706352460E0
2.200051560E-1,6.552081108E-1,2.724281788E0,-2.408466339E-1,2.812297287E0
2.300051560E-1,4.036450386E-1,3.755868435E0,3.219875336E0,4.963574740E0
2.400051560E-1,1.316078663E0,4.570682526E0,3.250868797E0,5.761193430E0
2.500051560E-1,3.498436213E0,5.182508945E0,3.102670670E0,6.980259321E0
2.600051560E-1,3.837990284E0,5.101648808E0,4.137529850E0,7.607637165E0
2.700051560E-1,4.013184547E0,4.946731091E0,5.025746346E0,8.113810758E0
2.800056200E-1,3.270556688E0,4.682345867E0,4.592165470E0,7.328634769E0
2.900056200E-1,9.624552727E-1,4.344672203E0,3.637915611E0,5.747775804E0
3.000056200E-1,1.442828178E-1,4.625121117E0,2.589062691E0,5.302434204E0
3.100056200E-1,-8.954620361E-1,5.527531147E0,5.162963867E-1,5.623345517E0
3.200056200E-1,-4.244852066E-2,5.851922512E0,5.138826370E-2,5.852302087E0
3.300051860E-1,2.527751923E0,5.751455307E0,-1.429696083E-1,6.284043940E0
3.400051860E-1,3.737490416E0,5.673871040E0,-2.235918045E-1,6.797914422E0
3.500051860E-1,4.010613441E0,4.816755772E0,1.497297287E-1,6.269655121E0
3.600051860E-1,3.299395084E0,4.333434105E0,5.001130104E-1,5.469439833E0
3.700051860E-1,2.692934036E0,3.629696369E0,1.020745277E0,4.633412390E0
3.800051860E-1,2.490026474E0,3.654047489E0,1.069985390E0,4.549413548E0
3.900051860E-1,2.416553020E0,3.953157663E0,9.808254242E-1,4.735947901E0
4.000051860E-1,3.235844612E0,4.191024303E0,5.277152061E-1,5.321076809E0
4.100051860E-1,2.835238695E0,4.206466675E0,7.867441177E-1,5.133410820E0
4.200056520E-1,2.457821846E0,4.378724575E0,2.757081985E-1,5.028929522E0
4.300056520E-1,1.914174080E0,4.124530792E0,1.320073605E0,4.734808442E0
4.400056520E-1,2.098910809E0,4.017168999E0,1.192846298E0,4.686785214E0
4.500056520E-1,3.788292170E0,3.820584297E0,8.236021996E-1,5.443008591E0
4.600056520E-1,4.360840797E0,3.473490238E0,5.384864807E-1,5.601074413E0
4.700051850E-1,5.061977386E0,3.804117680E0,-7.744188309E-1,6.379235919E0
4.800051850E-1,4.649739265E0,3.255704403E0,6.099195480E-1,5.708913053E0
4.900051850E-1,2.839047194E0,3.271415710E0,1.407930374E0,4.554625962E0
5.000051850E-1,2.290302753E0,3.895453930E0,8.206281662E-1,4.592763722E0
5.100051850E-1,2.152020216E0,4.520382404E0,1.009046555E0,5.107173684E0
5.200051850E-1,2.215264320E0,4.635475159E0,1.391404152E0,5.322690247E0
5.300056180E-1,2.311027765E0,4.530493736E0,1.965481758E0,5.452461955E0
5.400056180E-1,2.678358555E0,4.761167526E0,1.699006081E0,5.720921466E0
5.500056180E-1,4.756294250E0,4.975538731E0,2.418870926E-1,6.887440020E0
5.600056180E-1,5.987257004E0,4.726641178E0,-4.393730164E-1,7.640774300E0
5.700056180E-1,7.673272133E0,3.733310223E0,-9.707860947E-1,8.588313926E0
5.800051840E-1,7.721529007E0,3.150725842E0,-2.187948227E-1,8.342478931E0
5.900051840E-1,6.924545765E0,3.153356075E0,1.066907883E0,7.683181699E0
6.000051840E-1,5.954912186E0,3.555268764E0,1.687740326E0,7.137883617E0
6.100051840E-1,3.829857111E0,3.823602200E0,4.368079185E0,6.954700212E0
6.200051840E-1,2.928737164E0,3.808667660E0,5.236712456E0,7.106800128E0
6.300051840E-1,2.035142183E0,3.610871553E0,5.477992058E0,6.869395466E0
6.400051840E-1,1.863230705E0,3.641240358E0,5.225830078E0,6.636230859E0
6.500051840E-1,2.285270691E0,3.192528963E0,3.828050613E0,5.483491115E0
6.600051840E-1,2.609440565E0,3.040562868E0,2.868963242E0,4.927996824E0
6.700056500E-1,2.945576191E0,2.984945059E0,1.238896370E0,4.372777186E0
6.800056500E-1,2.895153761E0,3.056983471E0,7.870855331E-1,4.283289259E0
6.900056500E-1,2.501941442E0,3.198821783E0,4.744081497E-1,4.088671529E0
7.000056500E-1,2.161669016E0,3.282773495E0,4.256649017E-1,3.953556040E0
7.100056500E-1,1.726859808E0,3.508065701E0,4.903373718E-1,3.940685282E0
7.200052500E-1,1.587340593E0,3.605804682E0,6.431198120E-1,3.991876834E0
7.300052500E-1,1.551750183E0,3.634064198E0,6.437082291E-1,4.003587330E0
7.400052500E-1,1.828579307E0,3.707245588E0,2.970199585E-1,4.144344699E0
7.500052500E-1,1.908150434E0,3.688057423E0,1.929740906E-1,4.156927307E0
7.600052500E-1,1.931028366E0,3.687160492E0,2.121829987E-2,4.162267803E0
7.700052500E-1,1.731636286E0,3.678182840E0,-4.131317139E-2,4.065624185E0
7.800056830E-1,1.550530195E0,3.722651958E0,1.284885406E-2,4.032672387E0
7.900056830E-1,1.443948269E0,3.904161930E0,2.376050949E-1,4.169403214E0
8.000056830E-1,1.452407598E0,3.937962770E0,3.128652573E-1,4.208909988E0
8.100056830E-1,1.337163568E0,3.997963190E0,5.501823425E-1,4.251401732E0
8.200056830E-1,1.227723718E0,4.090740681E0,7.443876266E-1,4.335386694E0
8.300052490E-1,1.053035975E0,4.295493126E0,1.353849411E0,4.625262607E0
8.400052490E-1,1.098905325E0,4.446770668E0,1.603663445E0,4.853153483E0
8.500052490E-1,1.329669833E0,4.687085152E0,1.793945312E0,5.191823270E0
8.600052490E-1,1.448767662E0,4.755703449E0,1.746527672E0,5.269345495E0
8.700052490E-1,1.604707003E0,4.773882866E0,1.563860893E0,5.273585410E0
8.800052490E-1,1.667640924E0,4.836286545E0,1.454586983E0,5.318507035E0
8.900052490E-1,1.740937948E0,4.930288315E0,1.677482605E0,5.491134281E0
9.000052490E-1,1.751150370E0,4.923230648E0,1.792197227E0,5.524192116E0
9.100052490E-1,1.758739948E0,5.006910324E0,1.864317894E0,5.624766520E0
9.200057150E-1,2.035686493E0,5.132653236E0,1.927373886E0,5.848326157E0
9.300057150E-1,2.540270567E0,5.369732857E0,2.063045502E0,6.288335412E0
9.400061810E-1,2.713387728E0,5.454928875E0,2.083195686E0,6.438821807E0
9.500061810E-1,2.830036640E0,5.629876614E0,2.165946960E0,6.663028163E0
9.600061810E-1,2.743089914E0,5.630146980E0,2.383475304E0,6.701048561E0
9.700057140E-1,2.711417913E0,5.429200649E0,2.383790970E0,6.520005075E0
9.800057140E-1,2.677677155E0,5.405103683E0,2.039373398E0,6.367428416E0
9.900057140E-1,2.717145920E0,5.405562401E0,1.717852592E0,6.289197433E0
1.000005714E0,2.698572159E0,5.398235798E0,1.619771004E0,6.248751838E0
1.010005714E0,2.581578970E0,5.499320030E0,1.527320862E0,6.264166328E0
