"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-3.223439455E-1,-3.816721439E-1,1.483392715E0,1.565258187E0
1.000000000E-2,-3.078216314E-1,-3.840377927E-1,1.484230042E0,1.563706494E0
2.000000000E-2,-3.052525222E-1,-3.767935038E-1,1.483977318E0,1.561198619E0
3.000000000E-2,-2.997675240E-1,-3.679901958E-1,1.483798027E0,1.557861976E0
4.000000000E-2,-2.977114320E-1,-3.610002697E-1,1.483546257E0,1.555590816E0
5.000000000E-2,-2.992252707E-1,-3.592068851E-1,1.483378410E0,1.555306033E0
6.000000000E-2,-2.992488444E-1,-3.582616448E-1,1.483329773E0,1.555046138E0
7.000214200E-2,-2.984356582E-1,-3.588999808E-1,1.483403206E0,1.555107105E0
8.000214200E-2,-2.991592884E-1,-3.591491580E-1,1.483378410E0,1.555280009E0
9.000214200E-2,-3.000432551E-1,-3.588527441E-1,1.483319283E0,1.555325477E0
1.000021420E-1,-3.006522059E-1,-3.590130806E-1,1.483296394E0,1.555458239E0
1.100021420E-1,-3.013697863E-1,-3.598269224E-1,1.483301163E0,1.555789671E0
1.200021420E-1,-3.025490642E-1,-3.604984581E-1,1.483275414E0,1.556149423E0
1.300021420E-1,-3.033846617E-1,-3.606362939E-1,1.483241081E0,1.556311310E0
1.400021420E-1,-3.040902019E-1,-3.601142466E-1,1.483179092E0,1.556269045E0
1.500021420E-1,-3.044897318E-1,-3.603009284E-1,1.483168602E0,1.556380370E0
1.600021420E-1,-3.053252995E-1,-3.611485362E-1,1.483169556E0,1.556741383E0
1.700021420E-1,-3.063808084E-1,-3.621542454E-1,1.483166695E0,1.557179611E0
1.800029190E-1,-3.075606823E-1,-3.626860678E-1,1.483135223E0,1.557505970E0
1.900029190E-1,-3.084259927E-1,-3.627921939E-1,1.483098030E0,1.557666375E0
2.000029190E-1,-3.092538416E-1,-3.626682162E-1,1.483050346E0,1.557756240E0
2.100029190E-1,-3.095465899E-1,-3.176253438E-1,1.480852127E0,1.545842156E0
2.200036910E-1,-3.096104264E-1,-2.770711482E-1,1.479061127E0,1.536310142E0
2.300036910E-1,-3.096700013E-1,-2.402988374E-1,1.477582932E0,1.528689099E0
2.400036910E-1,-3.096573949E-1,-2.070893049E-1,1.476368904E0,1.522642054E0
2.500036910E-1,-3.096495271E-1,-1.769196391E-1,1.475364685E0,1.517855178E0
2.600036910E-1,-3.094792366E-1,-1.495610178E-1,1.474541664E0,1.514073649E0
2.700036910E-1,-3.093526661E-1,-1.246007979E-1,1.473856926E0,1.511118350E0
2.800036910E-1,-3.093252778E-1,-1.022170931E-1,1.473292351E0,1.508880649E0
2.900036910E-1,-3.091133833E-1,-8.233788610E-2,1.472844124E0,1.507182943E0
3.000036910E-1,-3.090887964E-1,-6.431098282E-2,1.472463608E0,1.505928572E0
3.100036910E-1,-3.089395463E-1,-4.793356359E-2,1.472152710E0,1.504983346E0
3.200037570E-1,-3.083596826E-1,-3.290399909E-2,1.471914291E0,1.504227392E0
3.300037570E-1,-3.077917397E-1,-1.915463805E-2,1.471716881E0,1.503679897E0
3.400037570E-1,-3.072155118E-1,-6.677702069E-3,1.471558571E0,1.503299900E0
3.500037570E-1,-3.069657385E-1,4.255071282E-3,1.471419334E0,1.503103765E0
3.600037570E-1,-3.067312539E-1,1.384650916E-2,1.471308708E0,1.503005357E0
3.700032570E-1,-3.064448535E-1,2.245487273E-2,1.471220970E0,1.502965007E0
3.800032570E-1,1.913169026E-2,-7.487532496E-2,-4.610500336E-1,4.674820524E-1
3.900032570E-1,1.944148540E-2,-6.759597361E-2,-4.611082077E-1,4.664418144E-1
4.000032570E-1,1.994052529E-2,-6.081930175E-2,-4.611473083E-1,4.655678812E-1
4.100032570E-1,8.023920655E-2,-9.313024580E-2,7.274436951E-2,1.428401773E-1
4.200032570E-1,3.818151355E-2,-7.040025294E-2,6.305122375E-2,1.019288007E-1
4.300037230E-1,4.855427146E-2,-7.191747427E-2,6.532287598E-2,1.086126996E-1
4.400037230E-1,6.824946404E-2,-8.088788390E-2,6.279850006E-2,1.230629543E-1
4.500037230E-1,4.646211863E-2,-7.545468956E-2,6.502723694E-2,1.099121476E-1
4.600037230E-1,5.058974028E-2,-7.729497552E-2,5.047988892E-2,1.052713363E-1
4.700037230E-1,3.777751327E-2,-6.007010117E-2,3.832149506E-2,8.064796679E-2
4.800032560E-1,3.014782071E-2,-7.439437509E-2,3.576660156E-2,8.787868869E-2
4.900032560E-1,2.267977595E-2,-4.561847448E-2,5.955886841E-2,7.837522732E-2
5.000037560E-1,2.009439468E-2,-6.748169661E-2,4.505157471E-2,8.358952361E-2
5.100037560E-1,2.029830217E-2,-4.628510773E-2,6.169223785E-2,7.975126632E-2
5.200031890E-1,3.496551514E-2,-3.736168146E-2,5.439662933E-2,7.468249978E-2
5.300031890E-1,2.794218063E-2,-3.129404411E-2,5.188751221E-2,6.672628102E-2
5.400031890E-1,1.378360391E-2,-3.529892117E-2,5.417156219E-2,6.611020892E-2
5.500031890E-1,2.392667532E-2,-3.951585293E-2,4.689788818E-2,6.582856781E-2
5.600031890E-1,2.202817798E-2,-3.427240998E-2,4.440975189E-2,6.026661409E-2
5.700036550E-1,1.064461470E-2,-3.632985428E-2,4.911041260E-2,6.200805399E-2
5.800036550E-1,1.621684432E-2,-2.894115821E-2,4.664039612E-2,5.723550671E-2
5.900036550E-1,1.955208182E-2,-2.879669890E-2,4.417610168E-2,5.624110357E-2
6.000036550E-1,1.576343179E-2,-1.922252402E-2,5.847644806E-2,6.354121646E-2
6.100036550E-1,1.920384169E-2,-2.674110048E-2,5.841350555E-2,6.705230512E-2
6.200035880E-1,1.014977694E-3,-1.750018448E-2,4.158878326E-2,4.513217843E-2
6.300035880E-1,2.179294825E-3,-2.060282603E-2,5.829238892E-2,6.186459708E-2
6.400035880E-1,-3.577411175E-3,-2.230581362E-3,3.430652618E-2,3.456459320E-2
6.500040880E-1,1.474234462E-2,-3.060100134E-3,4.623985291E-2,4.862946570E-2
6.600040880E-1,-3.457367420E-4,-2.155744471E-3,6.775569916E-2,6.779086617E-2
6.700040880E-1,-1.049655676E-2,-3.826664295E-3,4.618263245E-2,4.751480404E-2
6.800042210E-1,-1.204997301E-3,-1.771933399E-2,4.617023468E-2,4.946834731E-2
6.900042210E-1,3.381192684E-3,6.920803338E-3,4.855442047E-2,4.916158795E-2
7.000042210E-1,1.263481379E-2,-4.587510601E-3,5.811882019E-2,5.965300523E-2
7.100042210E-1,-4.738509655E-3,7.872258313E-3,4.372406006E-2,4.467907063E-2
7.200042210E-1,2.468317747E-3,-1.369163021E-2,5.090904236E-2,5.277578919E-2
7.300037540E-1,6.705731153E-3,-1.316700131E-3,2.933692932E-2,3.012234970E-2
7.400037540E-1,-8.606016636E-4,3.775929101E-3,2.692508698E-2,2.720217977E-2
7.500037540E-1,-1.034766436E-2,-8.153067902E-3,3.650569916E-2,3.880995677E-2
7.600037540E-1,-8.107721806E-4,-2.747947350E-3,4.608249664E-2,4.617147456E-2
7.700037540E-1,-6.655752659E-4,-2.528998069E-3,4.608917236E-2,4.616330394E-2
7.799704200E-1,-2.221581340E-2,-1.902198419E-3,3.651142120E-2,4.278135811E-2
7.899375530E-1,-1.698136330E-4,-2.287860028E-2,-4.167556763E-3,2.325570289E-2
7.999037190E-1,-1.135748625E-2,-1.474450249E-2,1.981163025E-2,2.718259628E-2
8.098703850E-1,-3.136962652E-3,-1.113176346E-2,6.295776367E-2,6.401122323E-2
8.198370510E-1,1.898407936E-5,-5.074107088E-3,7.735824585E-2,7.752448080E-2
8.298037170E-1,3.027647734E-3,-8.652093820E-3,1.037254333E-1,1.041296831E-1
8.397703830E-1,3.217285872E-2,-7.759071887E-3,7.740783691E-2,8.418592074E-2
8.497370490E-1,1.989045739E-2,1.203832962E-2,3.669261932E-2,4.343846208E-2
8.597037150E-1,-4.913717508E-3,-1.418048330E-2,4.383659363E-2,4.633441126E-2
8.696703810E-1,6.358057261E-3,-1.127953827E-2,5.338287354E-2,5.493072057E-2
8.796370470E-1,-6.336688995E-3,-5.973521620E-3,5.095767975E-2,5.169643811E-2
8.896037130E-1,5.229234695E-3,1.140882540E-2,4.615211487E-2,4.782806602E-2
8.995705790E-1,-2.102896571E-2,-4.012919962E-4,4.854965210E-2,5.290980205E-2
9.095372450E-1,-4.534184933E-3,-1.004787721E-2,3.896045685E-2,4.048994773E-2
9.195039110E-1,-1.659098268E-2,4.721648991E-3,7.008266449E-2,7.217433434E-2
9.294705770E-1,1.491880417E-2,1.058541238E-5,3.658008575E-2,3.950536044E-2
9.394372430E-1,1.255539060E-2,-1.455068961E-2,2.221584320E-2,2.937522919E-2
9.494034090E-1,1.969933510E-5,-2.280475572E-3,3.176784515E-2,3.184959878E-2
9.593700750E-1,2.005279064E-3,-1.137826592E-2,2.935695648E-2,3.154864456E-2
9.693367410E-1,4.440456629E-3,-1.180650666E-3,7.963943481E-2,7.977186953E-2
9.793037740E-1,-3.410175443E-2,-6.728488952E-4,1.107549667E-1,1.158880712E-1
9.892704400E-1,-3.438618779E-2,-7.445160300E-4,1.107425690E-1,1.159606864E-1
9.992371060E-1,3.157228231E-3,-3.620775416E-3,5.563831329E-2,5.584532219E-2
1.009203772E0,-2.404838800E-3,2.976079658E-2,7.718086243E-3,3.083921396E-2
1.019170438E0,-5.134940147E-4,-6.705900654E-3,-3.061389923E-2,3.134395645E-2
1.029137104E0,-5.524605513E-3,-9.642904624E-3,2.683830261E-2,2.904825920E-2
1.039103870E0,-5.919486284E-3,4.762629047E-3,4.358005524E-2,4.423736167E-2
1.049070536E0,-3.376185894E-3,-2.368912846E-2,3.401088715E-2,4.158501993E-2
1.059037202E0,6.958425045E-3,5.786100402E-3,5.319976807E-2,5.396400615E-2
1.069003868E0,-7.081687450E-3,1.223258674E-3,4.124450684E-2,4.186592890E-2
1.079003868E0,-6.751686335E-3,1.510724425E-3,4.125976562E-2,4.183581977E-2
1.088970534E0,-1.291692257E-3,9.458367713E-3,2.453041077E-2,2.632242848E-2
1.098937200E0,-2.216744423E-2,4.884911701E-3,5.568695068E-2,6.013563355E-2
1.108903866E0,1.198646426E-2,3.846436739E-4,1.012067795E-1,1.019148443E-1
1.118870532E0,-9.365916252E-3,3.111254424E-3,1.251602173E-1,1.255487168E-1
1.128837198E0,-2.873945236E-2,5.572456867E-3,1.227550507E-1,1.261975073E-1
1.138803864E0,1.515626907E-3,1.715445705E-2,6.046485901E-2,6.286948144E-2
1.148770997E0,-4.733115435E-3,3.306831419E-2,-1.621913910E-2,3.713456959E-2
1.158737663E0,-7.989108562E-3,1.703875884E-2,-4.978084564E-2,5.321914835E-2
1.168703863E0,-8.116245270E-3,3.614071757E-3,-9.087562561E-3,1.270900253E-2
1.178670529E0,6.284207106E-3,6.204787642E-4,4.837608337E-2,4.878649091E-2
1.188637195E0,-1.059174538E-2,-4.422739148E-3,8.428478241E-2,8.506274295E-2
1.198603295E0,-1.516833901E-2,7.281152532E-3,6.753349304E-2,6.959789058E-2
1.208569961E0,1.397049427E-2,-7.403993979E-3,3.163623810E-2,3.536729277E-2
1.218536627E0,-1.018404961E-2,1.976286992E-3,1.247310638E-2,1.622340777E-2
1.228503293E0,1.960366964E-3,1.375069562E-2,2.205753326E-2,2.606644284E-2
1.238469959E0,-5.440622568E-3,4.154690541E-3,3.641319275E-2,3.705107871E-2
1.248436625E0,1.646578312E-3,-5.367727950E-3,8.189964294E-2,8.209187072E-2
1.258403758E0,-5.575865507E-3,1.966869459E-3,8.908176422E-2,8.927776637E-2
1.268370424E0,3.786832094E-3,-5.172058940E-3,4.118728638E-2,4.168312428E-2
1.278336590E0,-1.213461161E-3,6.600713357E-3,3.399467468E-2,3.465082700E-2
1.288303256E0,1.778563857E-2,-7.949553430E-3,2.201652527E-2,2.939815851E-2
1.298269922E0,1.780548692E-2,-8.025441319E-3,3.159332275E-2,3.714271282E-2
1.308236588E0,-3.771901131E-3,6.373196840E-3,5.792999268E-2,5.840144628E-2
1.318203254E0,1.300147176E-2,-1.028470136E-2,6.990146637E-2,7.184029754E-2
1.328169920E0,2.512052655E-2,6.453003734E-3,4.117774963E-2,4.866507142E-2
1.338136486E0,5.207508802E-3,2.062080987E-2,3.874874115E-2,4.420181997E-2
1.348103152E0,1.215508580E-2,-6.363826804E-3,1.000499725E-2,1.698070589E-2
1.358069818E0,2.140015364E-3,-4.386590794E-3,4.350566864E-2,4.377859121E-2
1.368036484E0,-2.904057503E-3,2.976944670E-4,4.349422455E-2,4.359208347E-2
1.378003150E0,-7.869601250E-4,1.479357388E-2,4.826927185E-2,5.049150165E-2
