"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-4.038214684E-6,3.119185567E-5,5.166053772E-3,5.166149515E-3
1.000000000E-2,1.451162621E-3,8.393339813E-4,5.167007446E-3,5.432156150E-3
2.000750000E-2,6.650239229E-3,-7.357576862E-3,3.150367737E-2,3.302788680E-2
3.000750000E-2,-1.778884418E-2,-1.062615588E-2,4.107379913E-2,4.600451219E-2
4.000750000E-2,-3.161855042E-2,-5.886728317E-2,1.129035950E-1,1.311956993E-1
5.000750000E-2,1.168549433E-2,-2.053839713E-2,-1.879024506E-2,3.019022762E-2
6.000750000E-2,-5.080867559E-4,-1.081369910E-2,5.064296722E-2,5.178710621E-2
7.000750000E-2,-1.252609864E-2,-2.960096672E-2,2.909469604E-2,4.335460432E-2
8.000750000E-2,2.341344953E-6,-1.170601789E-2,5.303001404E-2,5.430665934E-2
9.000750000E-2,1.930369809E-2,-1.665639132E-2,1.056995392E-1,1.087311396E-1
1.000075000E-1,-8.613927290E-3,-2.638453152E-3,6.977272034E-2,7.035192735E-2
1.100075000E-1,-1.334761828E-2,-1.010571234E-2,4.822540283E-2,5.104873959E-2
1.200075000E-1,-1.142990217E-2,-1.994939055E-3,3.387832642E-2,3.581010257E-2
1.300081150E-1,1.013497077E-2,9.862916544E-3,4.106235504E-2,4.342938817E-2
1.400081150E-1,1.391495764E-2,1.837268472E-2,6.499481201E-2,6.896018546E-2
1.500081150E-1,2.143550664E-3,-2.002574690E-2,1.033039093E-1,1.052488623E-1
1.600081150E-1,-7.374394685E-3,-9.754230268E-4,6.738948822E-2,6.779879254E-2
1.700081150E-1,6.348039955E-3,1.087240782E-2,2.189445496E-2,2.525616798E-2
1.800081150E-1,-1.285734773E-2,2.035680413E-2,2.189445496E-2,3.254347896E-2
1.900081150E-1,-6.804689765E-3,-9.415427223E-3,6.739234924E-2,6.838627647E-2
2.000081150E-1,-2.001333982E-3,-2.883627452E-2,9.612369537E-2,1.003757983E-1
2.100081150E-1,-1.027603820E-2,3.070091829E-3,1.080970764E-1,1.086278065E-1
2.200081150E-1,8.831331506E-3,4.386092722E-2,6.260585785E-2,7.694976797E-2
2.300081150E-1,8.742270991E-3,2.850369550E-3,5.782032013E-2,5.854691562E-2
2.400081150E-1,2.059075236E-2,1.005924121E-2,5.303192139E-2,5.777155098E-2
2.500081150E-1,1.035234146E-2,-2.832830325E-2,-2.051353455E-3,3.023031243E-2
2.600081150E-1,2.358028665E-3,-2.031795122E-2,1.709651947E-2,2.665840241E-2
2.700086700E-1,7.146194577E-3,1.052869670E-2,3.864479065E-2,4.068588693E-2
