"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,2.119202375E0,5.515664101E0,-8.018856049E-1,5.962934655E0
9.986000000E-3,2.118932962E0,5.515186310E0,-8.018932343E-1,5.962397982E0
1.997900000E-2,2.119712830E0,5.515715599E0,-8.018884659E-1,5.963164107E0
2.997433300E-2,2.207979560E-4,-1.180857420E-3,3.610229492E-2,3.612227671E-2
3.997083300E-2,5.761757493E-4,-3.064423800E-4,3.611660004E-2,3.612249553E-2
4.996803300E-2,-2.388060093E-4,-1.508742571E-3,3.609848022E-2,3.613078475E-2
5.996819900E-2,9.308949113E-3,-4.195630550E-3,-7.003784180E-3,1.238195631E-2
6.996619900E-2,9.613484144E-3,1.006057858E-2,9.115600586E-2,9.221199338E-2
7.996444900E-2,-2.148970962E-3,-3.291946650E-2,8.397579193E-2,9.022329511E-2
8.996289300E-2,5.595266819E-3,-9.461268783E-3,1.943111420E-2,2.232466834E-2
9.996149300E-2,-6.282284856E-3,-1.908715069E-2,9.844017029E-2,1.004701625E-1
1.099602200E-1,8.059367537E-4,-2.143299580E-2,5.065917969E-3,2.203829321E-2
1.199590530E-1,3.353551030E-3,1.072250307E-2,1.296892166E-1,1.301749257E-1
1.299579760E-1,-1.098737866E-2,-3.586634994E-3,1.081409454E-1,1.087568413E-1
1.399569760E-1,3.523528576E-3,1.066523790E-2,1.236724854E-2,1.670662711E-2
1.499560420E-1,3.714919090E-3,8.212342858E-3,1.105298996E-1,1.108968075E-1
1.599551670E-1,-5.722820759E-3,8.218452334E-3,2.786636353E-3,1.039514206E-2
1.699543430E-1,-7.246084511E-3,8.195638657E-7,8.645725250E-2,8.676037259E-2
1.799535650E-1,2.298094332E-3,-9.513720870E-3,1.463031769E-2,1.760222480E-2
1.899528280E-1,-4.812434316E-3,-2.412384748E-2,5.048751831E-3,2.511193813E-2
1.999528280E-1,1.555071026E-2,3.156334162E-3,8.177661896E-2,8.330187539E-2
2.099521610E-1,-8.306510746E-3,-3.508205712E-2,2.431488037E-2,4.348519587E-2
2.199515240E-1,-3.664724529E-3,1.052251458E-2,1.176948547E-1,1.182211163E-1
2.299509150E-1,5.806699395E-3,-3.484001756E-2,8.178424835E-2,8.908539644E-2
2.399503310E-1,-1.983180642E-3,3.029106557E-2,6.759071350E-2,7.409444116E-2
2.499497710E-1,5.749799311E-3,-1.276046038E-3,1.344604492E-1,1.345893788E-1
2.599492320E-1,-1.333068311E-2,5.859717727E-3,2.773284912E-3,1.482344472E-2
2.699487130E-1,1.075020432E-2,1.544238627E-2,5.784034729E-2,6.082384369E-2
2.799482130E-1,7.082700729E-3,-1.329962909E-2,7.468223572E-3,1.681722768E-2
2.899477300E-1,-2.566277981E-4,-6.101250648E-3,-2.604961395E-2,2.675581253E-2
2.999472630E-1,9.232148528E-3,-3.711965680E-2,4.338741302E-2,5.784089467E-2
3.099477630E-1,1.259638369E-2,-2.420708537E-3,3.399944305E-2,3.633855858E-2
3.199477630E-1,5.249179900E-3,2.385380864E-2,1.321630478E-1,1.344010018E-1
3.299477630E-1,-9.213827550E-3,-1.205037534E-2,9.385585785E-2,9.507380405E-2
3.399477630E-1,-1.774004847E-2,3.112177551E-2,6.742858887E-2,7.635370867E-2
3.499477630E-1,1.493178308E-3,2.395014465E-2,1.416501999E-1,1.436684313E-1
3.599472630E-1,1.450572163E-2,-1.893296838E-2,7.399559021E-3,2.497251940E-2
3.699472630E-1,-1.752217859E-2,7.263720036E-3,4.104042053E-2,4.521177378E-2
3.799472630E-1,-7.863737643E-3,-4.873573780E-3,2.188205719E-2,2.375740975E-2
3.899472630E-1,8.922427893E-3,-7.389336824E-3,2.187919617E-2,2.475704431E-2
3.999472630E-1,1.345253736E-2,-3.038914502E-2,8.890628815E-2,9.491469311E-2
4.099472630E-1,-1.006983221E-3,-3.253762424E-2,3.863239288E-2,5.051903390E-2
4.199472630E-1,3.439284861E-3,1.763443649E-2,8.429431915E-2,8.618778494E-2
4.299472630E-1,-1.299987733E-2,5.531832576E-3,1.082315445E-1,1.091497375E-1
4.399472630E-1,3.536425531E-3,2.702359855E-2,1.964473724E-2,3.359608438E-2
4.499477630E-1,6.417803466E-3,4.842336476E-2,1.344604492E-1,1.430581101E-1
4.599477630E-1,1.060909033E-2,4.974271357E-2,3.133773804E-2,5.974064091E-2
4.699477630E-1,-5.501955748E-4,1.754286885E-2,6.230926514E-2,6.473406742E-2
4.799477630E-1,1.138687134E-2,-4.792816937E-2,5.501937866E-2,7.385054019E-2
4.899477630E-1,-2.605817094E-2,-6.599052250E-2,-2.621459961E-2,7.563717714E-2
4.999472960E-1,-2.011390403E-2,-6.078891456E-2,-9.276390076E-3,6.469862967E-2
5.099472960E-1,-2.773351967E-3,-3.025707603E-2,-1.868247986E-2,3.566815364E-2
5.199472960E-1,7.474876940E-3,3.689295053E-2,6.282520294E-2,7.323912690E-2
5.299472960E-1,2.331818640E-2,4.408782721E-2,1.297674179E-1,1.390217863E-1
5.399472960E-1,2.965676785E-2,4.677686095E-2,5.781269073E-2,8.006188737E-2
5.499472960E-1,8.606582880E-3,2.525459230E-2,1.271305084E-1,1.299000919E-1
5.599477960E-1,-1.919885725E-2,-3.182415664E-2,2.888679504E-2,4.707249721E-2
5.699477960E-1,-1.339719445E-2,-4.592122138E-2,5.051326752E-2,6.956891250E-2
5.799477960E-1,-3.814540058E-2,-4.252320528E-2,-3.557300568E-2,6.729586396E-2
5.899477960E-1,-2.118259668E-3,-7.997930050E-3,-4.506111145E-2,4.581438283E-2
5.999477960E-1,2.821363509E-3,1.588982344E-2,4.831314087E-2,5.093727674E-2
6.099472960E-1,4.831806570E-2,3.270810843E-2,1.000690460E-2,5.919961123E-2
6.199472960E-1,3.114777803E-2,4.596440494E-2,1.416206360E-1,1.521161239E-1
6.299472960E-1,-1.340730488E-2,-2.042296529E-2,-1.650810242E-2,2.948509421E-2
6.399472960E-1,-1.811578870E-2,1.051725447E-2,1.103849411E-1,1.123549272E-1
6.499472960E-1,-3.717840463E-2,-4.261924326E-2,1.007976532E-1,1.155802775E-1
6.599472960E-1,-4.664915800E-2,-2.595551312E-2,7.692909241E-2,9.363716069E-2
6.699472960E-1,-8.815381676E-3,-1.022219658E-3,-1.881408691E-2,2.080206128E-2
6.799472960E-1,6.166290492E-3,2.497659624E-2,3.280639648E-4,2.572860517E-2
6.899472960E-1,2.546289936E-2,6.554591656E-2,-3.319549561E-2,7.775967689E-2
6.999477620E-1,4.536253214E-2,1.691164076E-2,1.485328674E-1,1.562234797E-1
7.099477620E-1,-3.087282181E-3,-4.059500992E-2,4.796123505E-2,6.291077975E-2
7.199477620E-1,-1.023089886E-2,-4.059886932E-2,1.078176498E-1,1.156615109E-1
7.299477620E-1,-1.405995339E-2,-5.146230757E-2,5.296039581E-2,7.517216848E-2
7.399477620E-1,-1.896338537E-2,-2.196398377E-2,3.396034241E-2,4.466913279E-2
7.499472620E-1,1.061372459E-2,4.388320446E-2,1.178169250E-1,1.261713700E-1
7.599472620E-1,7.182285190E-3,2.710813284E-2,1.955318451E-2,3.418717758E-2
7.699472620E-1,1.792755723E-2,6.767690182E-2,2.185058594E-2,7.334172383E-2
7.799472620E-1,9.996503592E-3,-1.788422465E-3,-1.668262482E-2,1.953045083E-2
7.899472620E-1,9.832806885E-3,-3.537067771E-2,-2.386474609E-2,4.378692772E-2
7.999472620E-1,4.827499390E-3,-6.829179823E-2,1.151304245E-1,1.339480836E-1
8.099477620E-1,-2.229226753E-2,-4.330302775E-2,-3.787612915E-2,6.169844863E-2
8.199477620E-1,-2.387347445E-2,2.075473964E-2,9.871864319E-2,1.036632650E-1
8.299477620E-1,-8.100986481E-3,2.736754715E-2,6.031990051E-2,6.673154439E-2
8.399477620E-1,3.025703132E-3,6.349925697E-2,7.936573029E-2,1.016869198E-1
8.499477620E-1,2.690330148E-3,5.391456187E-2,7.916641235E-2,9.581930235E-2
8.599472620E-1,1.959548891E-2,5.915537477E-3,2.170085907E-2,2.983125967E-2
8.699472620E-1,3.739066422E-3,-4.120123386E-2,8.151912689E-2,9.141602889E-2
8.799472620E-1,-2.959743142E-3,-4.499314725E-2,-3.568649292E-2,5.750364472E-2
8.899472620E-1,-2.156418934E-2,2.878248692E-3,-1.968383789E-3,2.184429244E-2
8.999472620E-1,-2.631398290E-2,-1.847724617E-2,9.380626678E-2,9.916375351E-2
9.099472620E-1,-3.792554140E-3,-3.272339702E-3,-2.832317352E-2,2.876271601E-2
9.199472620E-1,1.789336652E-2,1.109884679E-2,1.153326035E-1,1.172389286E-1
9.299472620E-1,2.730745822E-2,-2.006994188E-2,9.138965607E-2,9.747086271E-2
9.399472620E-1,2.265904099E-2,4.975646734E-4,7.229804993E-2,7.576732628E-2
9.499477280E-1,-3.775961697E-3,4.120989144E-2,1.417322159E-1,1.476500391E-1
9.599477280E-1,1.096785814E-2,4.373580217E-3,-6.820678711E-3,1.363612020E-2
9.699477280E-1,1.602828503E-3,2.568385005E-2,9.373188019E-2,9.720028074E-2
9.799477280E-1,-3.178983927E-3,1.359298825E-2,-2.119636536E-2,2.538033043E-2
9.899477280E-1,-4.124142230E-3,-3.250598907E-3,1.222896576E-2,1.330873946E-2
9.999477940E-1,-1.147022098E-2,1.494765282E-3,7.687473297E-2,7.774011102E-2
1.009947794E0,2.194255590E-2,-2.730530500E-2,2.180576324E-2,4.126192860E-2
1.019947794E0,1.239832491E-2,6.348997355E-3,1.367330551E-1,1.374407385E-1
1.029947794E0,9.583011270E-3,-1.266516745E-2,9.843158722E-2,9.970465352E-2
1.039947794E0,-6.920099258E-3,2.545951307E-2,6.251049042E-2,6.785009942E-2
1.049947794E0,5.084030330E-3,1.103124022E-2,1.127901077E-1,1.134422497E-1
1.059948294E0,-4.744239151E-3,-1.583281159E-2,5.038261414E-3,1.727917261E-2
1.069948294E0,-4.548102617E-3,1.529219747E-2,4.813385010E-2,5.070901366E-2
1.079948294E0,3.919452429E-4,-1.828244328E-2,2.450942993E-4,1.828828655E-2
1.089948294E0,-9.113371372E-3,-3.271466494E-2,-2.150535583E-3,3.402833588E-2
1.099948294E0,-1.134687662E-2,4.011064768E-3,5.772209167E-2,5.896337946E-2
1.109947794E0,3.340646625E-3,-1.228867471E-2,3.139209747E-2,3.387676534E-2
1.119947794E0,1.287234575E-2,1.399375498E-2,8.406639099E-2,8.618979381E-2
1.129947794E0,-8.595220745E-3,-1.729822159E-2,7.927322388E-2,8.159258737E-2
1.139947794E0,-1.562704891E-2,3.998205066E-3,3.856468201E-2,4.180221286E-2
1.149947794E0,-1.047056168E-2,2.329224348E-2,8.166122437E-2,8.556118766E-2
1.159947794E0,-4.380792379E-4,1.382231712E-3,3.615951538E-2,3.618857597E-2
1.169947794E0,1.635701954E-2,4.184493423E-2,5.051994324E-2,6.760780483E-2
1.179947794E0,6.806381047E-3,-6.752863526E-3,6.965923309E-2,7.031597787E-2
1.189947794E0,-1.236794144E-2,2.431824803E-3,5.289077759E-2,5.437199740E-2
1.199947860E0,2.146877348E-3,-2.637396753E-2,1.055631638E-1,1.088291174E-1
1.209947860E0,4.500955343E-3,2.360716462E-3,7.683181763E-2,7.699973884E-2
