"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.067897940E0,-3.782954216E-1,1.489238977E0,9.737515450E0
1.079896472E0,-3.375927508E-1,1.498816013E0,9.732727051E0
1.091895171E0,-3.280156553E-1,1.494027495E0,9.742303848E0
1.103893636E0,-2.968900800E-1,1.501210332E0,9.759063721E0
1.115892934E0,-2.729473412E-1,1.513181686E0,9.783006668E0
1.127891332E0,-1.819648892E-1,1.522758722E0,9.818921089E0
1.139889830E0,-1.556278616E-1,1.529941559E0,9.840469360E0
1.151887628E0,-1.795706153E-1,1.529941559E0,9.806949615E0
1.163886160E0,-1.388679445E-1,1.505998850E0,9.780612946E0
1.175885192E0,-1.460507661E-1,1.465296149E0,9.713572502E0
1.187883590E0,-1.460507661E-1,1.498816013E0,9.660899162E0
1.199882121E0,-1.460507661E-1,1.479661822E0,9.639349937E0
1.211880285E0,-1.364736706E-1,1.479661822E0,9.624984741E0
1.223878750E0,-1.364736706E-1,1.458113313E0,9.706390381E0
1.235876448E0,-1.556278616E-1,1.453324795E0,9.792584419E0
1.247875112E0,-1.412622184E-1,1.398256540E0,9.806949615E0
1.259873811E0,-1.197137386E-1,1.403045058E0,9.847652435E0
1.271873643E0,-7.661679387E-2,1.417410731E0,9.806949615E0
1.283872839E0,-9.577099234E-3,1.426987767E0,9.768641472E0
1.295872102E0,-4.788549617E-2,1.407833576E0,9.742303848E0
1.307871233E0,-1.173194647E-1,1.410227895E0,9.668081284E0
1.319869964E0,-1.867534369E-1,1.429382086E0,9.660899162E0
1.331869097E0,-2.921015322E-1,1.443747759E0,9.703995705E0
1.343867562E0,-3.543526828E-1,1.450930476E0,9.727938652E0
1.355866160E0,-3.495641351E-1,1.455719113E0,9.778218269E0
1.367865191E0,-3.160442710E-1,1.443747759E0,9.811738014E0
1.379864356E0,-2.705530524E-1,1.472478986E0,9.790189743E0
1.391861054E0,-1.795706153E-1,1.460507631E0,9.759063721E0
1.403859519E0,-1.077423692E-1,1.470084786E0,9.778218269E0
1.415858051E0,-1.221080124E-1,1.484450340E0,9.787795067E0
1.427855949E0,-2.035133541E-1,1.505998850E0,9.730332375E0
1.439854147E0,-2.490045726E-1,1.494027495E0,9.744698524E0
1.451853045E0,-3.088614643E-1,1.525153041E0,9.723150253E0
1.463851143E0,-3.423812985E-1,1.522758722E0,9.694418907E0
1.475849608E0,-3.423812985E-1,1.510787368E0,9.737515450E0
1.487848073E0,-2.753416002E-1,1.479661822E0,9.749486923E0
1.499847571E0,-1.987248063E-1,1.458113313E0,9.754275322E0
1.511847303E0,-1.053480953E-1,1.477267504E0,9.756669998E0
1.523846135E0,-8.140534163E-2,1.465296149E0,9.737515450E0
1.535844600E0,-1.101366431E-1,1.448536277E0,9.677659035E0
1.547842998E0,-1.771763414E-1,1.438959122E0,9.701601982E0
1.559839863E0,-2.370332032E-1,1.438959122E0,9.742303848E0
1.571837195E0,-2.585816681E-1,1.446141958E0,9.792584419E0
1.583835727E0,-2.394274771E-1,1.436564922E0,9.794978142E0
1.595834125E0,-1.723877788E-1,1.438959122E0,9.794978142E0
1.607832590E0,-8.619388938E-2,1.441353440E0,9.778218269E0
1.619831521E0,-9.337671846E-2,1.419804931E0,9.751881599E0
1.631831051E0,-8.858817071E-2,1.450930476E0,9.778218269E0
1.643829647E0,-1.316851079E-1,1.441353440E0,9.747093201E0
1.655828277E0,-2.154847383E-1,1.412622094E0,9.720755577E0
1.667827840E0,-2.442160249E-1,1.443747759E0,9.713572502E0
1.679826005E0,-2.035133541E-1,1.450930476E0,9.725543976E0
1.691824470E0,-1.628106833E-1,1.489238977E0,9.742303848E0
1.703822868E0,-1.268965602E-1,1.465296149E0,9.771035194E0
1.715821366E0,-1.221080124E-1,1.458113313E0,9.821314812E0
1.727818998E0,-2.154847383E-1,1.498816013E0,9.835680962E0
1.739817930E0,-2.657645047E-1,1.494027495E0,9.828497887E0
1.751815528E0,-3.280156553E-1,1.470084786E0,9.749486923E0
1.763814060E0,-3.184385598E-1,1.482056141E0,9.701601982E0
1.775812525E0,-2.897072434E-1,1.486844659E0,9.651321411E0
